ant00	schneuf
ant01	schlürrrf
ant02	schnieef
ant03	puuust
ant05	schnurz
ant06	schnuff
ant08	schnüffel
ant09	mwahaaa
bea00	gruff
bea01	schätzchen
bea02	grumml
bea03	hiijaa
bea05	gäähn
bea06	brummel
bea07	hooonig
bea08	brumbrum
bea09	grrr
bea10	bralala
bea11	brrruah
bea12	bärbär
bea13	brrroho
bea14	gruaaa
bea15	lollipop
brd00	hiiiijjj
brd01	ladida
brd02	tschurp
brd03	zwirtschi
brd04	zischhh
brd05	tschikadii
brd06	oh, ja
brd08	twitiriti
brd09	astrein
brd11	tirilü
brd15	mauser
brd16	piepiep
brd17	flatter
brd18	birtz
bul00	brrruzzl
bul01	oléolé
bul03	muhuhu
bul05	hhmmuuuhh
bul07	schnoff
bul08	grumpf
cat00	psssps
cat01	muh
cat02	flöt
cat03	schnurr
cat04	miausi
cat05	grraul
cat06	mrmpft
cat07	kätzchen
cat08	schluchz
cat09	miiiau
cat10	maunz
cat11	mrrrrrrr
cat12	mrriau
cat13	fauchch
cat14	miezmiez
cat15	fauch
cat16	prrrrr
cat17	mauzi
cat18	kratz
cat19	mi-miau
cat20	katzaaa
cat21	zischel
cat23	weeßte
cbr00	früchtchen
cbr01	darling
cbr02	bärli
cbr03	griesgram
cbr04	okeydokey
cbr05	brummm
cbr06	nastrovje
cbr07	liebelein
cbr09	honigtopf
cbr10	tralala
cbr13	schönheit
cbr14	flüster
cbr15	baaambus
cbr16	mwuuu
cbr17	bossi
cbr18	pompudding
cbr19	träum
chn00	buaa-ka-ka
chn01	putputtt
chn02	duudle-du
chn05	biiika
chn09	bokbok
chn10	hühnermist
chn11	knusprig
chn12	eieiei
chn13	gockgock
cow00	muuhna
cow01	dingdong
cow06	muuuhi
cow07	joggi
crd00	ahhhrg
crd01	graaach
crd02	schmatzi
crd04	happ
crd05	yoyoyo
crd06	schnapp
crd07	zähni
crd08	hömpf
der00	bimbam
der01	weihweih
der02	sproing
der03	röööhr
der04	tripptripp
der05	bocko
der06	zick
der07	knospel
der08	kitz
der09	hirschl
der10	denkpink
der11	okido
dog00	wuff
dog01	GRRUFF
dog02	rrr-awau
dog03	kläff
dog04	hechel
dog05	frechi
dog06	wafff
dog07	wauwau
dog08	nuffnuff
dog09	hurra
dog10	bingo
dog11	gnüff
dog14	bellbell
dog15	tusch
dog16	winsel
dog17	wedel
dog18	heffheff
duk00	quako
duk01	tschiiirp
duk02	quaak
duk03	entchen
duk04	juhuu
duk05	krah
duk06	quackpss
duk07	schnatter
duk08	krook
duk09	schnabbl
duk10	flitzer
duk11	quaa
duk12	brotbrot
duk13	pullilol
duk15	nerv
duk16	krümel
duk17	pluster
elp00	tröööt
elp01	taraaaa
elp02	truuu
elp03	tuutuuuu
elp04	trampl
elp05	pruuust
elp06	TUUUUT
elp07	polter
elp09	puuuuuh
elp10	huiuiui
elp11	zimtroll
elp12	hau
flg00	kröti
flg01	quarrrk
flg02	quäääk
flg03	quak-quak
flg04	quak
flg05	grupap
flg06	platschi
flg07	nidip
flg09	schlürpf
flg10	oui, oui
flg11	hops
flg12	gurp
flg13	quaacki
flg15	tatü
flg16	quaki
flg17	schleck
