ant00	Theo
ant01	Siggi
ant02	Mathilda
ant03	Annabell
ant05	Zoe
ant06	Hilde
ant08	Annalena
ant09	Olaf
bea00	Torsten
bea01	Pia
bea02	Kurt
bea03	Chang
bea05	Nathan
bea06	Ernst
bea07	Mandy
bea08	Ursula
bea09	Gerald
bea10	Paula
bea11	Ike
bea12	Tabea
bea13	Berthold
bea14	Grischa
bea15	Dagmar
brd00	Jan
brd01	Jule
brd02	Armin
brd03	Twiggy
brd04	Alex
brd05	Iris
brd06	Ansgar
brd08	Anna
brd09	Helge
brd11	Jesko
brd15	Lukas
brd16	Pierre
brd17	Picko
brd18	Nestor
bul00	Angus
bul01	Toro
bul03	Carlos
bul05	Marius
bul07	Arnold
bul08	Klaus
cat00	Jens
cat01	Miezi
cat02	Sophie
cat03	Bianca
cat04	Kiki
cat05	Tanja
cat06	Julian
cat07	Franka
cat08	Tristan
cat09	Kabuki
cat10	Pit
cat11	Monique
cat12	Zita
cat13	Stefan
cat14	Karen
cat15	Timo
cat16	Mischka
cat17	Minka
cat18	Feline
cat19	Kleo
cat20	Heinz
cat21	Janine
cat23	Gunnar
cbr00	Birte
cbr01	Mona
cbr02	Toni
cbr03	Bertram
cbr04	Bernd
cbr05	Berry
cbr06	Vladimir
cbr07	Michael
cbr09	Linda
cbr10	Claudia
cbr13	Juna
cbr14	Sandrine
cbr15	Eduard
cbr16	Hubert
cbr17	Tatjana
cbr18	Marty
cbr19	Misuzu
chn00	Konrad
chn01	Benedikt
chn02	Waldemar
chn05	Gisela
chn09	Inga
chn10	Mareile
chn11	Tschiwi
chn12	Elfriede
chn13	Hannes
cow00	Patricia
cow01	Angela
cow06	Nelly
cow07	Jolanda
crd00	Markus
crd01	Ali
crd02	Tilmann
crd04	Krokki
crd05	Juri
crd06	Steve
crd07	Rosa
crd08	Frederik
der00	Fatima
der01	Benjamin
der02	Walter
der03	Oswald
der04	Dina
der05	Eckart
der06	Selina
der07	Martin
der08	Vroni
der09	Erik
der10	Chelsea
der11	Yoshino
dog00	Bienchen
dog01	Hasso
dog02	Viktor
dog03	Keks
dog04	Strolch
dog05	Isolde
dog06	Fido
dog07	Doris
dog08	Rosi
dog09	Agnes
dog10	Bea
dog11	Jupp
dog14	Wuffi
dog15	Ronaldo
dog16	Wastl
dog17	Bella
dog18	Thomas
duk00	Bill
duk01	Kalle
duk02	Daune
duk03	Sissi
duk04	Olivia
duk05	Erika
duk06	Marina
duk07	Quacks
duk08	Erwin
duk09	Gustav
duk10	Helmut
duk11	Volker
duk12	Tanya
duk13	Pullunda
duk15	Gustavia
duk16	Monika
duk17	Quentin
elp00	Olga
elp01	Bastian
elp02	Benni
elp03	Frauke
elp04	Elisa
elp05	Paolo
elp06	Axel
elp07	Elfi
elp09	Thorsten
elp10	Eleonore
elp11	Chai
elp12	Sid
flg00	Liliane
flg01	Robbi
flg02	Fritz
flg03	Tarno
flg04	Caspar
flg05	Warzi
flg06	Nele
flg07	Jörg
flg09	Paul
flg10	Jacques
flg11	Knuth
flg12	Prinz
flg13	Jeanette
flg15	Sani
flg16	Violetta
flg17	Carlo
flg18	Dörte
flg19	Freddy
goa00	Anette
goa01	Zenobi
goa02	Hennes
goa04	Gregor
goa06	Wilma
goa07	Bocki
goa08	Pamela
goa09	Morpheus
gor00	Alfredo
gor01	Manfred
gor02	Kong
gor04	Ludwig
gor05	Boyd
gor07	Konga
gor08	Kokong
gor09	Katrin
gor10	Hans
gor11	Rilla
ham00	Hamid
ham01	Jessi
ham02	Günther
ham03	Reinhold
ham04	Samira
ham05	Dietmar
ham06	Emilie
ham07	Heinrich
ham09	Marlo
hip00	Richi
hip02	Christin
hip03	Berta
hip04	Norbert
hip05	Biggi
hip08	Jürgen
hip09	Herbert
hrs00	Rudi
hrs01	Emma
hrs02	Zara
hrs03	Emil
hrs04	Jolly
hrs05	Walli
hrs06	Hermann
hrs07	Birgit
hrs08	Claire
hrs09	Annerose
hrs10	Tommi
hrs11	Carsten
hrs12	Friedel
hrs13	Jimmy
hrs16	Andrea
kal00	Ute
kal01	Konny
kal02	Kornelia
kal03	Silke
kal04	Heribert
kal05	Oskar
kal07	Finchen
kal08	Caroline
kal09	Pepe
kal10	Sunny
kgr00	Kerstin
kgr01	Marga
kgr02	Carola
kgr05	Astrid
kgr06	Sylvia
kgr08	Sinan
kgr09	Robert
kgr10	Marlies
lon00	Dieter
lon01	Leonardo
lon02	Rex
lon04	Leandro
lon06	Leonhard
lon07	Leon
lon08	Lorenz
mnk01	Dorothea
mnk02	Simon
mnk03	Bonni
mnk04	Daniel
mnk05	Steffi
mnk06	Pippo
mnk07	Uta
mnk08	Anton
mnk09	Tiansheng
mus00	Dora
mus01	Rafael
mus02	Susi
mus03	Jenny
mus04	Samson
mus05	Manni
mus08	Renate
mus09	Ricky
mus10	Eva
mus12	Fritzi
mus14	Mausbert
mus15	Schoki
mus16	Gretel
mus17	Penelope
mus18	Charlie
mus19	Pipette
ocp00	Ottfried
ocp01	Marianne
ocp02	Ottokar
ocp04	Tentatron
ost00	Isabella
ost01	Sandra
ost02	Senta
ost03	Lutz
ost04	Verona
ost05	Julia
ost06	Guido
ost07	Ingo
ost08	Christa
ost09	Flora
ost10	Philippa
pbr00	Apollo
pbr01	Adelheid
pbr02	Adrian
pbr03	Balduin
pbr05	Quetzal
pbr06	Arthur
pbr07	Horst
pbr08	Kai
pbr09	Lora
pbr10	Kim
pgn00	Sonja
pgn01	Roland
pgn02	Cube
pgn03	Hauke
pgn04	Frieda
pgn05	Judith
pgn06	Puck
pgn07	Achim
pgn09	Staksi
pgn10	Max
pgn11	Pingi
pgn12	Matze
pgn13	Susanne
pgn14	Svenja
pig00	Oink
pig01	Luzie
pig02	Ede
pig03	Hugo
pig04	Larissa
pig05	Schwarte
pig08	Rolo
pig09	Bolle
pig10	Magda
pig11	Quiekie
pig13	Oinka
pig14	Clemens
pig15	Kevin
pig16	Brigitte
pig17	Nora
rbt00	Mimmi
rbt01	Doro
rbt02	Koko
rbt03	Philip
rbt04	Gaston
rbt05	Gabi
rbt06	Lotta
rbt07	Michelle
rbt08	Aki
rbt09	Rubina
rbt10	Gustl
rbt11	Claude
rbt12	Manu
rbt13	Anne
rbt14	Poldi
rbt15	Nico
rbt16	Hilda
rbt17	Henrike
rbt18	Karl
rbt19	Mira
rbt20	Toby
rbt21	Gerrit
rhn00	Frank
rhn01	Regina
rhn02	Atze
rhn04	Rüdiger
rhn05	Jasmin
rhn07	Maria
rhn08	Ilona
shp00	Dolly
shp01	Babsi
shp02	Edith
shp03	Stella
shp04	Lana
shp07	Natascha
shp08	Locke
shp09	Wolli
shp10	Tippsi
shp11	Martina
shp12	Marion
shp13	Pietro
shp14	Etoile
shp15	Dominik
squ00	Paulina
squ01	Klara
squ02	Felix
squ03	Noisette
squ04	Knuspi
squ05	Karin
squ06	Ricarda
squ07	Hanne
squ08	Rudolf
squ09	Marika
squ10	Ronny
squ11	Hörnchen
squ13	Natalja
squ14	Maren
squ15	Trita
squ16	Steffen
squ17	Huschke
squ18	Nadine
squ21	Vega
tig00	Boris
tig01	Gisbert
tig02	Arne
tig03	Tamara
tig04	Tim
tig05	Lilly
tig06	Bettina
wol00	Sascha
wol01	Lupo
wol02	Weber
wol03	Lupa
wol04	Sigmund
wol05	Freya
wol06	Grimm
wol08	Viviane
wol09	Sabine
wol10	Wolfgang
wol12	Katharina
alp	Björn
alw	Rosina
bev	Bartholo
bey	Lomeus
boa	Sigrid
boc	Jorna
bpt	Smeralda
chm	Carleon
chy	Carlson
cml	Aziza
cmlB	Aziza
dga	Harry
dgb	Wuff
doc	Udo
dod	Bodo
fox	Reiner
fsl	Helios
grf	Grazia
gstA	Buhu
gstB	Buhu
gul	Gulliver
gulB	Gullivarrr
hgc	Minna
hgh	Tina
hgs	Sina
kpg	Bonnie
kpm	Lore
kpp	Käpten
kps	Lotte
lom	Katja
man	Sigmar
mka	Blanka
mnc	Bono
mnk	Flip
mob	Don
mol	Resetti
otg	Karlotta
otgB	Karlotta
ott	Fred
owl	Eugen
ows	Eufemia
pck	Pavo
pge	Kofi
pgeB	Kofi
pkn	Jakob
plk	Pelly
plm	Peggy
plo	Peter
poo	Trude
pooB	Trude
pyn	Ohs
rcm	Nepp
rco	Tom Nook
rct	Schlepp
rei	Chris
seo	Johannes
skk	Schubert
slo	Gerd
spn	Harvey
sza	Melinda
szo	Moritz
tap	Serenada
tkkA	K.K.
tkkB	DJ K.K.
ttlA	Törtel
ttlB	Eichenmann
tuk	Gernod
upa	Samselt
wrl	Winci
xct	Olli
