00079_0	Plain white
00079_1	Beige
00079_2	Pink
00079_3	Yellow
00079_4	Green
00079_5	Blue
00079_6	Black
00725_0	Plain
00725_1	Spring
00725_2	Summer
00725_3	Fall
00725_4	Winter
00833_0	None
00833_1	Cool
00833_2	Cute
00833_3	Pop
00833_4	Notes
00922_0	None
00922_1	Blue logo
00922_2	White logo
00922_3	Orange
00922_4	Apple
00922_5	Peach
00922_6	Pear
00922_7	Cherry
00941_0	None
00941_1	Familiar logo
00941_2	Chic logo
00941_3	Rock logo
00941_4	Emblem logo
00941_5	Handwritten logo
00941_6	Pop logo
00941_7	Cute logo
00950_0	None
00950_1	Familiar logo
00950_2	Chic logo
00950_3	Rock logo
00950_4	Emblem logo
00950_5	Handwritten logo
00950_6	Pop logo
00950_7	Cute logo
01029_0	Plain
01029_1	Spring
01029_2	Summer
01029_3	Fall
01029_4	Winter
01032_0	Café
01032_1	Travel
01032_2	Fashion
01032_3	Sports
01032_4	Comics
01032_5	Kids
01032_6	Weekly news
01133_0	Blue
01133_1	Red
01133_2	Yellow
01133_3	Green
01222_0	Sporting event
01222_1	Sci-fi movie
01222_2	Music video
01222_3	Cartoon
01235_0	Nothing
01235_1	Good-manners poster
01235_2	Recruitment flier
01235_3	Travel flier
01235_4	Graffiti & stickers
01499_0	None
01499_1	Red
01499_2	Blue
01499_3	Yellow
01500_0	None
01500_1	Red stripes
01500_2	Blue stripes
01500_3	Yellow stripes
01501_0	None
01501_1	Heart
01501_2	Fish
01501_3	Star
01504_0	None
01504_1	White
01504_2	Giant dots
01504_3	Giant stripes
01608_0	Sushi
01608_1	Chinese food
01608_2	Bakery
01608_3	Fast food
01608_4	Ice cream
01608_5	Open
01608_6	Farmers market
01608_7	Crest
01620_0	Colorful
01620_1	Camouflage
01620_2	Hibiscus flowers
01620_3	White
01644_0	None
01644_1	Familiar logo
01644_2	Chic logo
01644_3	Rock logo
01644_4	Emblem logo
01644_5	Handwritten logo
01644_6	Pop logo
01644_7	Cute logo
01645_0	None
01645_1	Familiar logo
01645_2	Chic logo
01645_3	Rock logo
01645_4	Emblem logo
01645_5	Handwritten logo
01645_6	Pop logo
01645_7	Cute logo
01712_0	Pottery exhibition
01712_1	Painting exhibition
01712_2	Art exhibition
01712_3	Jazz concert
01712_4	Concert
01712_5	Musical
01712_6	Movie
01712_7	Photo exhibition
01745_0	Resource document
01745_1	Text document
01745_2	Statement of delivery
01745_3	Comic manuscript
01745_4	Sheet music
01750_0	Resource documents
01750_1	Text documents
01750_2	Exam papers
01750_3	Storyboards
01778_0	Plain
01778_1	PE shirt
01778_2	Fish
01778_3	Carrot
01779_0	White
01779_1	Brown
01779_2	Green
01779_3	Red
01779_4	Pink
01779_5	Yellow
01779_6	Light green
01779_7	Light blue
01783_0	Apple
01783_1	Fish
01783_2	Flower
01792_0	White
01792_1	Floral
01792_2	Alphabet
01792_3	Paisley
01792_4	Rainbow colors
01792_5	Pop
01802_0	Orange juice
01802_1	Sports drink
01802_2	Sale
01802_3	Cute
01803_0	Smooth white
01803_1	Glossy black
01803_2	Black with logo
01803_3	White with logo
01803_4	Rock logo
01803_5	Vintage logo
01816_0	White
01816_1	Purple
01816_2	Black
01816_3	Yellow
01816_4	Pink
01816_5	Red
01816_6	Green
01816_7	Blue
01820_0	White shirts
01820_1	Light-colored shirts
01820_2	Striped shirts
01820_3	Lace-collar shirts
01820_4	T-shirts
01820_5	Sweaters
01838_0	White
01838_1	Yellow
01838_2	Pink
01838_3	Blue
01849_0	Well-frame pattern (Igeta)
01849_1	Flowers
01849_2	Checkered (Koushi)
01849_3	Stripes
01850_0	Desktop
01850_1	Search engine
01850_2	Calculations
01850_3	Web browsing
01850_4	Online shopping
01850_5	Chat tool
01861_0	Gardening
01861_1	Travel
01861_2	Fashion
01861_3	Sports
01861_4	Comics
01861_5	Kids
01861_6	Weekly news
01870_0	Plain
01870_1	Square logo
01870_2	Round logo
01870_3	Fish
01870_4	Carrot
01870_5	Cheese
01899_0	Musician's signature
01899_1	Comedian's signature
02020_0	Natural white
02020_1	Director black
02020_2	Chic pleather
02561_0	White
02561_1	Gray
02561_2	Pink
