ant00	Cyrano
ant01	Antonio
ant02	Pango
ant03	Anabelle
ant05	Zoe
ant06	Snooty
ant08	Annalisa
ant09	Olaf
bea00	Teddy
bea01	Pinky
bea02	Curt
bea03	Chow
bea05	Nate
bea06	Groucho
bea07	Tutu
bea08	Ursala
bea09	Grizzly
bea10	Paula
bea11	Ike
bea12	Charlise
bea13	Beardo
bea14	Klaus
bea15	Megan
brd00	Jay
brd01	Robin
brd02	Anchovy
brd03	Twiggy
brd04	Jitters
brd05	Piper
brd06	Admiral
brd08	Midge
brd09	Ace
brd11	Jacob
brd15	Lucha
brd16	Jacques
brd17	Peck
brd18	Sparro
bul00	Angus
bul01	Rodeo
bul03	Stu
bul05	T-Bone
bul07	Coach
bul08	Vic
cat00	Bob
cat01	Mitzi
cat02	Rosie
cat03	Olivia
cat04	Kiki
cat05	Tangy
cat06	Punchy
cat07	Purrl
cat08	Moe
cat09	Kabuki
cat10	Kid Cat
cat11	Monique
cat12	Tabby
cat13	Stinky
cat14	Kitty
cat15	Tom
cat16	Merry
cat17	Felicity
cat18	Lolly
cat19	Ankha
cat20	Rudy
cat21	Katt
cat23	Raymond
cbr00	Bluebear
cbr01	Maple
cbr02	Poncho
cbr03	Pudge
cbr04	Kody
cbr05	Stitches
cbr06	Vladimir
cbr07	Murphy
cbr09	Olive
cbr10	Cheri
cbr13	June
cbr14	Pekoe
cbr15	Chester
cbr16	Barold
cbr17	Tammy
cbr18	Marty
cbr19	Judy
chn00	Goose
chn01	Benedict
chn02	Egbert
chn05	Ava
chn09	Becky
chn10	Plucky
chn11	Knox
chn12	Broffina
chn13	Ken
cow00	Patty
cow01	Tipper
cow06	Norma
cow07	Naomi
crd00	Alfonso
crd01	Alli
crd02	Boots
crd04	Del
crd05	Roswell
crd06	Sly
crd07	Gayle
crd08	Drago
der00	Fauna
der01	Bam
der02	Zell
der03	Bruce
der04	Deirdre
der05	Lopez
der06	Fuchsia
der07	Beau
der08	Diana
der09	Erik
der10	Chelsea
der11	Shino
dog00	Goldie
dog01	Butch
dog02	Lucky
dog03	Biskit
dog04	Bones
dog05	Portia
dog06	Walker
dog07	Daisy
dog08	Cookie
dog09	Maddie
dog10	Bea
dog11	Frett
dog14	Mac
dog15	Marcel
dog16	Benjamin
dog17	Cherry
dog18	Shep
duk00	Bill
duk01	Joey
duk02	Pate
duk03	Maelle
duk04	Deena
duk05	Pompom
duk06	Mallary
duk07	Freckles
duk08	Derwin
duk09	Drake
duk10	Scoot
duk11	Weber
duk12	Miranda
duk13	Ketchup
duk15	Gloria
duk16	Molly
duk17	Quillson
elp00	Opal
elp01	Dizzy
elp02	Big Top
elp03	Eloise
elp04	Margie
elp05	Paolo
elp06	Axel
elp07	Ellie
elp09	Tucker
elp10	Tia
elp11	Chai
elp12	Cyd
flg00	Lily
flg01	Ribbot
flg02	Frobert
flg03	Camofrog
flg04	Drift
flg05	Wart Jr.
flg06	Puddles
flg07	Jeremiah
flg09	Tad
flg10	Cousteau
flg11	Huck
flg12	Prince
flg13	Jambette
flg15	Raddle
flg16	Gigi
flg17	Croque
flg18	Diva
flg19	Henry
goa00	Chevre
goa01	Nan
goa02	Billy
goa04	Gruff
goa06	Velma
goa07	Kidd
goa08	Pashmina
goa09	Sherb
gor00	Cesar
gor01	Peewee
gor02	Boone
