00079_0	Blanco liso
00079_1	Beis
00079_2	Rosa
00079_3	Amarillo
00079_4	Verde
00079_5	Azul
00079_6	Negro
00725_0	Sencillo
00725_1	Primavera
00725_2	Verano
00725_3	Otoño
00725_4	Invierno
00833_0	Ninguna
00833_1	Moderna
00833_2	Adorable
00833_3	Pop
00833_4	Notas
00922_0	Sin logo
00922_1	Logo azul
00922_2	Logo blanco
00922_3	Naranja
00922_4	Manzana
00922_5	Melocotón
00922_6	Pera
00922_7	Cereza
00941_0	Ninguna
00941_1	Marca
00941_2	Chic
00941_3	Rock duro
00941_4	Emblema
00941_5	Firma
00941_6	Pop
00941_7	Adorable
00950_0	Ninguna
00950_1	Marca
00950_2	Chic
00950_3	Rock duro
00950_4	Emblema
00950_5	Firma
00950_6	Pop
00950_7	Adorable
01029_0	Sencillo
01029_1	Primavera
01029_2	Verano
01029_3	Otoño
01029_4	Invierno
01032_0	De pasatiempos
01032_1	De viaje
01032_2	De moda
01032_3	Deportes
01032_4	Cómics
01032_5	Infantiles
01032_6	Actualidad
01133_0	Azul
01133_1	Rojo
01133_2	Amarillo
01133_3	Verde
01222_0	Evento deportivo
01222_1	Peli de ciencia-ficción
01222_2	Vídeos musicales
01222_3	Dibujos animados
01235_0	Vacíos
01235_1	Cartel de buena conducta
01235_2	Oferta de trabajo
01235_3	Folleto agencia de viajes
01235_4	Pegatinas y grafiti
01499_0	Ninguno
01499_1	Rojo
01499_2	Azul
01499_3	Amarillo
01500_0	Ninguna
01500_1	Rayas rojas
01500_2	Rayas azules
01500_3	Rayas amarillas
01501_0	Ninguna
01501_1	Corazón
01501_2	Pez
01501_3	Estrella
01504_0	Ninguno
01504_1	Blanco
01504_2	Lunares
01504_3	Rayas
01608_0	Sushi
01608_1	Restaurante chino
01608_2	Panadería
01608_3	Comida rápida
01608_4	Heladería
01608_5	Abierto
01608_6	Mercado
01608_7	Emblema
01620_0	Multicolor
01620_1	Camuflaje
01620_2	Hibiscos
01620_3	Blanco
01644_0	Ninguna
01644_1	Marca
01644_2	Chic
01644_3	Rock duro
01644_4	Emblema
01644_5	Firma
01644_6	Pop
01644_7	Adorable
01645_0	Ninguna
01645_1	Marca
01645_2	Chic
01645_3	Rock duro
01645_4	Emblema
01645_5	Firma
01645_6	Pop
01645_7	Adorable
01712_0	Exposición de alfarería
