ant00	achús
ant01	fufuf
ant02	snuf-snuf
ant03	esnoink
ant05	olisquín
ant06	sniff
ant08	nubecillas
ant09	fruf
bea00	gruuuf
bea01	terronillo
bea02	oye
bea03	ándale-oso
bea05	uuaaaah
bea06	jorrr
bea07	fisflash
bea08	grumf
bea09	tostón
bea10	borobó
bea11	tornillos
bea12	comolooyes
bea13	bigotre
bea14	ricitos
bea15	tutifruti
brd00	heeey
brd01	picatoste
brd02	piu-piu
brd03	tirití
brd04	pío-pío
brd05	chupiyá
brd06	avechucho
brd08	arrurrú
brd09	figura
brd11	pelusilla
brd15	picopico
brd16	chapó
brd17	muy fuerte
brd18	gorrión
bul00	cuernos
bul01	olé
bul03	olé y olé
bul05	muooola
bul07	chacho
bul08	muuubién
cat00	zarpas
cat01	misi-misi
cat02	miaaau
cat03	raspas
cat04	galletita
cat05	mandarinas
cat06	arenque
cat07	tontaina
cat08	grrrroou
cat09	imikimono
cat10	soldado
cat11	ronrón
cat12	animiaul
cat13	marramiau
cat14	cascabel
cat15	miooou
cat16	michifú
cat17	miauito
cat18	purrrr
cat19	marramius
cat20	cachusco
cat21	salmonete
cat23	atilda
cbr00	cielito
cbr01	caramelito
cbr02	bolita
cbr03	rebollos
cbr04	mola
cbr05	peluche
cbr06	nyet
cbr07	pelusita
cbr09	panalito
cbr10	tralará
cbr13	cielo
cbr14	pitiminí
cbr15	ahivá
cbr16	apurri
cbr17	tararí
cbr18	pudin
cbr19	qué cosas
chn00	caracol
chn01	cocorico
chn02	kikirikí
chn05	piquito
chn09	cucurrús
chn10	tesorito
chn11	mazorca
chn12	pitas
chn13	kirrí
cow00	muuuu
cow01	cuernitos
cow06	mu-mu
cow07	merengue
crd00	ñam-ñam
crd01	lagartija
crd02	crococroco
crd04	chomp
crd05	alien
crd06	capón
crd07	corazón
crd08	quemarrr
der00	puchu
der01	galilla
der02	bambín
der03	aquesí
der04	rumiante
der05	trisca
der06	braaaam
der07	babum
der08	braaavo
der09	ñume-ñume
der10	melomelo
der11	oni
dog00	guau-guau
dog01	gruf-gruf
dog02	guuuuAY
dog03	guau
dog04	yip yip
dog05	ruf-ruf
dog06	huesitos
dog07	guaay
dog08	fresita
dog09	chupi
dog10	huesín
dog11	pichichi
dog14	frusky
dog15	colmillos
dog16	tirirí
dog17	guauchi
dog18	tufos
duk00	cuaco
duk01	uac-uac
duk02	cuaqui
duk03	perla
duk04	miguita
duk05	sinplumas
duk06	recuac
duk07	cui-cuá
duk08	cuato
duk09	polluelo
duk10	zapizum
duk11	cuaa-cuaa
duk12	cua-cuá
duk13	cuic-cuic
duk15	picodoro
duk16	deverdá
duk17	verdoncho
elp00	flip-flop
elp01	naricita
elp02	mutante
elp03	orejillas
elp04	flaqui
elp05	amigante
elp06	ankagua
elp07	trompi
elp09	purupú
elp10	snuuuf
elp11	vuelalto
elp12	rocanrol
flg00	mosquita
flg01	crobit
flg02	anquitas
flg03	recluta
flg04	colega
flg05	grroac
flg06	esplís
flg07	croc-croc
flg09	zump
flg10	oui oui
flg11	grillito
flg12	buuurp
flg13	croac
flg15	croaqui
flg16	trebolito
flg17	yastá
flg18	crocró
flg19	cruacruá
goa00	beee-beee
goa01	peque
goa02	fenómeno
goa04	zampoña
goa06	veráaas-tú
goa07	ein
goa08	muy bieeen
goa09	bostezzz
gor00	monigote
gor01	cani
gor02	angaua
gor04	gorilérico
gor05	unga
gor07	canapé
gor08	chocolate
gor09	uga-uga
gor10	cungagún
gor11	kittybún
ham00	chucufá
ham01	do-re-mi
ham02	ñisqui
ham03	adoya
ham04	moflete
ham05	tucu-tucu
ham06	nomnom
ham07	andaquenó
ham09	pariente
hip00	batracio
hip02	hippie
hip03	glub-glub
hip04	hipo-pipo
hip05	corassón
hip08	algas
hip09	chofchof
hrs00	zanahoria
hrs01	terroncito
hrs02	azucarillo
hrs03	pezuñitas
hrs04	bípedo
hrs05	okeimakei
hrs06	jo-joy
hrs07	bomboncito
hrs08	niiiih
hrs09	criatura
hrs10	troteras
hrs11	jia
hrs12	quepassa
hrs13	pinchito
hrs16	alehop
kal00	pues
kal01	tú
kal02	tesoro
kal03	súper
kal04	jorf-jorf
kal05	osete
kal07	aloha
kal08	kolalá
kal09	trololó
kal10	ouyeah
kgr00	mi alma
kgr01	peso mosca
kgr02	bebé
kgr05	mascotita
kgr06	púgil
kgr08	boing
kgr09	chimpón
kgr10	nainoná
lon00	sabes
lon01	groar
lon02	melenas
lon04	fiera
lon06	sapristi
lon07	ticotaco
lon08	picoplás
mnk01	monada
mnk02	chimpa
mnk03	uki-uki
mnk04	uuuuh-ah
mnk05	ricura
mnk06	afuá
mnk07	tunante
mnk08	millón
mnk09	wuwu
mus00	cuiqui
mus01	caramba
mus02	petisú
mus03	orejas
mus04	flojeras
mus05	quesito
mus08	yogurín
mus09	ñiiiik
mus10	cloricló
mus12	dientes
mus14	atiza
mus15	piruleta
mus16	bocadito
mus17	migas
mus18	fundifún
mus19	eureka
ocp00	chupatinta
ocp01	dospatas
ocp02	churubú
ocp04	clonc
ost00	gallina
ost01	plumillas
ost02	fiuuun
ost03	chiuuun
ost04	sambasamba
ost05	churri
ost06	gruqui
ost07	jurk
ost08	goticas
ost09	croqui
ost10	equilicuá
pbr00	rapaz
pbr01	chinchilla
pbr02	aguililla
pbr03	cadete
pbr05	grrraak
pbr06	vulanico
pbr07	mancuernas
pbr08	flopflop
pbr09	plumis
pbr10	nobi
pgn00	pescadito
pgn01	titirito
pgn02	waap
pgn03	esploch
pgn04	heladito
pgn05	crustáceo
pgn06	sardinilla
pgn07	refunfú
pgn09	personaje
pgn10	humanoide
pgn11	chirpi
pgn12	siclaro
pgn13	fresqui
pgn14	esmoquin
pig00	ñoink
pig01	oink-oink
pig02	porcino
pig03	groink
pig04	cochín
pig05	pork
pig08	saperlipop
pig09	oink
pig10	girasol
pig11	trufita
pig13	chanchi
pig14	zoink
pig15	bidoink
pig16	morrito
pig17	dindoink
rbt00	oy-oy-oy
rbt01	trompis
rbt02	toin-toin
rbt03	boin-boing
rbt04	mon chou
rbt05	mari
rbt06	pipita
rbt07	pompón
rbt08	mochi
rbt09	orejitas
rbt10	y tal
rbt11	hópala
rbt12	kaninchen
rbt13	mimomimo
rbt14	vida extra
rbt15	tralarí
rbt16	arcoíris
rbt17	oh lalá
rbt18	muyayo
rbt19	muesli
rbt20	keroppi
rbt21	neutrino
rhn00	tapumba
rhn01	jip-jip
rhn02	granuja
rhn04	narigón
rhn05	merci
rhn07	fresitas
rhn08	purrum
shp00	beeeibi
shp01	peeelusa
shp02	veeenga
shp03	no veeeas
shp04	peeeque
shp07	babeeebí
shp08	lanitas
shp09	joyita
shp10	yalovéees
shp11	berebé
shp12	lanas
shp13	moquimoqui
shp14	kikilala
shp15	diiigo yo
squ00	almendrita
squ01	bayita
squ02	guirlache
squ03	piñoncito
squ04	bellotita
squ05	piñita
squ06	ulaaaa
squ07	ramita
squ08	avería
squ09	bichito
squ10	cáscaras
squ11	macadamia
squ13	pincel
squ14	caldito
squ15	albricias
squ16	zasca
squ17	tecuén
squ18	castaña
squ21	destello
tig00	grooorf
tig01	turista
tig02	bengala
tig03	mi vida
tig04	macoque
tig05	mindundi
tig06	guiñito
wol00	ejem
wol01	auuuh
wol02	grauuuh
wol03	auf-auf
wol04	ooomm
wol05	auuuff
wol06	en-ñac
wol08	aú-aú
wol09	auuu
