ant00	Cirano
ant01	Antonio
ant02	Aspidora
ant03	Anabel
ant05	Naricia
ant06	Rosanari
ant08	Alba
ant09	Olaf
bea00	Teddy
bea01	Violeta
bea02	Gorbaché
bea03	Pando
bea05	Nachete
bea06	Groucho
bea07	Tutú
bea08	Úrsula
bea09	Gruñón
bea10	Lizi
bea11	Astillas
bea12	Charo
bea13	Bernabé
bea14	Gruñerto
bea15	Carmela
brd00	Jota
brd01	Aria
brd02	Boquerón
brd03	Tití
brd04	Camelio
brd05	Bárbara
brd06	Avutardo
brd08	Paloma
brd09	Uno
brd11	Repollo
brd15	Plumerio
brd16	Gorrelmo
brd17	Picuet
brd18	Jaime
bul00	Aliste
bul01	Rodeo
bul03	Vitorino
bul05	Bovi
bul07	Cacho
bul08	Artorito
cat00	Arándano
cat01	Misi
cat02	Minina
cat03	Olivia
cat04	Ágata
cat05	Tricia
cat06	Félix
cat07	Wanda
cat08	Tristán
cat09	Kabuki
cat10	Gatomán
cat11	Monique
cat12	Liana
cat13	Micifuz
cat14	Kasandra
cat15	Zapirón
cat16	Susi
cat17	Micha
cat18	Feli
cat19	Patri
cat20	Rufino
cat21	Melina
cat23	Narciso
cbr00	Celeste
cbr01	Dulce
cbr02	Poncho
cbr03	Bollito
cbr04	Orestes
cbr05	Parches
cbr06	Vladimir
cbr07	Orsón
cbr09	Osalina
cbr10	Cerecita
cbr13	Hanalulú
cbr14	Vera
cbr15	Osunio
cbr16	Plácido
cbr17	Aída
cbr18	Marty
cbr19	Rosezna
chn00	Gus
chn01	Benito
chn02	Norberto
chn05	Ava
chn09	Ramina
chn10	Herminia
chn11	Tono
chn12	Brunilda
chn13	Pichón
cow00	Vacarena
cow01	Pinta
cow06	Norma
cow07	Regina
crd00	Kaimán
crd01	Codrila
crd02	Braulio
crd04	Croco
crd05	Roswell
crd06	Estallón
crd07	Boni
crd08	Dragonio
der00	Fauna
der01	Cornelio
der02	Corvilo
der03	Aristo
der04	Venada
der05	Agreste
der06	Rosalina
der07	Lope
der08	Bambina
der09	Cervasio
der10	Chelsea
der11	Yuki
dog00	Tere
dog01	Bruno
dog02	Pupas
dog03	Amnesio
dog04	Cándido
dog05	Amanda
dog06	Miki
dog07	Luisa
dog08	Purita
dog09	Martina
dog10	Bea
dog11	Ulises
dog14	Pit
dog15	Eto
dog16	Bernardo
dog17	Luna
dog18	Fleco
duk00	Paquito
duk01	Pascual
duk02	Pati
duk03	Patidifú
duk04	Martita
duk05	Flopi
duk06	Mirta
duk07	Rebeca
duk08	Torcuato
duk09	Draco
duk10	Chema
duk11	Paticio
duk12	Miranda
duk13	Kétchup
duk15	Jarrea
duk16	Deira
duk17	Cuálter
elp00	Ópalo
elp01	Quique
elp02	Déivid
elp03	Eloísa
elp04	Rita
elp05	Paolo
elp06	Eustakio
elp07	Eli
elp09	Pirolo
elp10	Meralda
elp11	Chai
elp12	Ramón
flg00	Lili
flg01	Ranobot
flg02	Croaldo
flg03	Comando
flg04	Surfín
flg05	Saponcio
flg06	Nenúfar
flg07	Jeremías
flg09	Saltonio
flg10	Cousteau
flg11	Ricardo
flg12	Felipe
flg13	Anquita
flg15	Radiolo
flg16	Cleo
flg17	Ranolfo
flg18	Morania
flg19	Saperto
goa00	Cabriola
goa01	Pécora
goa02	Brito
goa04	Sátiro
goa06	Erika
goa07	Cabrálex
goa08	Carla
goa09	Morfeo
gor00	César
gor01	Lotar
gor02	Babú
gor04	Lou
gor05	Bunga
gor07	Magenta
gor08	Álex
gor09	Gloria
gor10	Hans
gor11	Rila
ham00	Bombo
ham01	Rosi
ham02	Roelio
ham03	Chusquis
ham04	Soraya
ham05	Boliche
ham06	Lluvia
ham07	Arsenio
ham09	Marlo
hip00	Roco
hip02	Hipólita
hip03	Berta
hip04	Pipo
hip05	Ofelia
hip08	Harpo
hip09	Hipóleo
hrs00	Trotón
hrs01	Victoria
hrs02	Sabana
hrs03	Jacinto
hrs04	Jereza
hrs05	Soonia
hrs06	Crinaldo
hrs07	Clotilde
hrs08	Perla
hrs09	Isadora
hrs10	Moe
hrs11	Furio
hrs12	Bayo
hrs13	Azulino
hrs16	Corcelia
kal00	Yuka
kal01	Zelanda
kal02	Melba
kal03	Sidney
kal04	Bronco
kal05	Koloa
kal07	Felicia
kal08	Canberra
kal09	Chipi
kal10	Eucalín
kgr00	Antípoda
kgr01	Pugilda
kgr02	Lola
kgr05	Astrid
kgr06	Cándida
kgr08	Brinco
kgr09	Cerillo
kgr10	Brisa
lon00	Surfleo
lon01	Elvis
lon02	Leoncio
lon04	Leopoldo
lon06	Jones
lon07	Rogelio
lon08	Lionel
mnk01	Nana
mnk02	Simón
mnk03	Tami
mnk04	Burton
mnk05	Mayra
mnk06	Monet
mnk07	Montse
mnk08	Cana
mnk09	Tiansheng
mus00	Dori
mus01	Camember
mus02	Prity
mus03	Brie
mus04	Sansón
mus05	Rodi
mus08	Chuchi
mus09	Ratolón
mus10	Clorinda
