ant00	Cyrano
ant01	Antonio
ant02	Mathilda
ant03	Anabelle
ant05	Cléo
ant06	Tarina
ant08	Roberta
ant09	Blair
bea00	Teddy
bea01	Rosine
bea02	Curt
bea03	Chulin
bea05	Nathan
bea06	Ronchon
bea07	Tutu
bea08	Oursula
bea09	Grizzly
bea10	Wendy
bea11	Isaac
bea12	Zabou
bea13	Eustache
bea14	Klaus
bea15	Candy
brd00	Gérard
brd01	Robie
brd02	Miguel
brd03	Titi
brd04	Gilbert
brd05	Neige
brd06	Maréchal
brd08	Michèle
brd09	Boumboum
brd11	Jacob
brd15	Condor
brd16	Jacky
brd17	Pec
brd18	Darius
bul00	Angus
bul01	Flèche
bul03	Beubeu
bul05	Steakos
bul07	Arnold
bul08	Toto
cat00	Robert
cat01	Mistigri
cat02	Rosie
cat03	Olivia
cat04	Kiki
cat05	Marine
cat06	Cédric
cat07	Perle
cat08	Momo
cat09	Kabuki
cat10	Câlin
cat11	Monique
cat12	Tigri
cat13	Tupux
cat14	Kitty
cat15	Tom
cat16	Suzy
cat17	Maud
cat18	Linette
cat19	Neferti
cat20	Rougepif
cat21	Kat
cat23	Raymond
cbr00	Myrtille
cbr01	Léa
cbr02	Théo
cbr03	Gradub
cbr04	Bill
cbr05	Miro
cbr06	Vladimir
cbr07	Eddie
cbr09	Grisa
cbr10	Rosalie
cbr13	Agnès
cbr14	Pauline
cbr15	Placide
cbr16	Manu
cbr17	Vanessa
cbr18	Marty
cbr19	Laura
chn00	Pouli
chn01	Dimitri
chn02	Herbert
chn05	Eva
chn09	Sonya
chn10	Poulette
chn11	Wolfram
chn12	Jo
chn13	Ken
cow00	Margaux
cow01	Valé
cow06	Norma
cow07	Maiko
crd00	Alphonse
crd01	Allie
crd02	Croko
crd04	Hector
crd05	Roswell
crd06	Chuck
crd07	Odile
crd08	Drago
der00	Bibi
der01	Nacer
der02	Régis
der03	Boubou
der04	Bichoune
der05	Jon
der06	Rosanne
der07	Stefaon
der08	Didi
der09	Abraham
der10	Chelsea
der11	Shino
dog00	Mirza
dog01	Avril
dog02	Ramsès
dog03	Crocket
dog04	Nonos
dog05	Dalma
dog06	George
dog07	Naomie
dog08	Cookie
dog09	Olympe
dog10	Béa
dog11	Foufou
dog14	Brutus
dog15	Ismaël
dog16	Bernardo
dog17	Anna
dog18	Mehdi
duk00	Choco
duk01	Joseph
duk02	Terrine
duk03	Maëlle
duk04	Mina
duk05	Pompon
duk06	Mallory
duk07	Caro
duk08	Prof
duk09	Colvert
duk10	Scooter
duk11	Bébert
duk12	Maëllis
duk13	Ketchup
duk15	Déborah
duk16	Molly
duk17	Narcisse
elp00	Opaline
elp01	Pachy
elp02	Miles
elp03	Éloïse
elp04	Maguy
elp05	Paolo
elp06	Axel
elp07	Ella
elp09	Barry
elp10	Fanny
elp11	Chaï
elp12	Punk
flg00	Raina
flg01	Crabot
flg02	Verbert
flg03	Milos
flg04	Gordon
flg05	Crakos
flg06	Rénata
flg07	Jérémie
flg09	Rénato
flg10	Figaro
flg11	Bajoue
flg12	Prince
flg13	Gambette
flg15	Fabien
flg16	Gloria
flg17	Carlos
flg18	Violette
flg19	Henri
goa00	Biquette
goa01	Nana
goa02	Seguin
goa04	Grognon
goa06	Véra
goa07	Moktar
goa08	Chavrina
goa09	Capri
gor00	César
gor01	Gogo
gor02	Babouin
gor04	Louis
gor05	Primo
gor07	Gaëlle
gor08	Gustave
gor09	Gertrude
gor10	Loran
gor11	Rilla
ham00	Jojo
ham01	Esther
ham02	Graham
ham03	Chico
ham04	Stella
ham05	Guido
ham06	Emma
ham07	Charles
ham09	Marlou
hip00	Bebel
hip02	Hippy
hip03	Bertha
hip04	Biff
hip05	Potama
hip08	Bob
hip09	Paulito
hrs00	Daniel
hrs01	Victoria
hrs02	Savana
hrs03	Martin
hrs04	Rosco
hrs05	Anne
hrs06	Édouard
hrs07	Cléa
hrs08	Prune
hrs09	Âne-lise
hrs10	Dorian
hrs11	Tony
hrs12	Bourrico
hrs13	Lico
hrs16	Jennifer
kal00	Calypso
kal01	Alice
kal02	Melba
kal03	Koaline
kal04	Gonzo
kal05	Koko
kal07	Kolette
kal08	Kolala
kal09	Kalyptus
kal10	Jamy
kgr00	Poquette
kgr01	Mathilde
kgr02	Kanga
kgr05	Rhona
kgr06	Madsi
kgr08	Walt
kgr09	Mike
kgr10	Selma
lon00	Léonard
lon01	Elvis
lon02	Léo
lon04	Leandro
lon06	Aimé
lon07	Hercule
lon08	Léopold
mnk01	Mireille
mnk02	Simon
mnk03	Lili
mnk04	Lourant
mnk05	Élise
mnk06	Rudy
mnk07	Luna
mnk08	Magogo
mnk09	Tiansheng
mus00	Dora
mus01	Gruyère
mus02	Belle
mus03	Quenotte
mus04	Samson
mus05	Marcel
mus08	Sucrette
mus09	Sourizzi
mus10	Annie
mus12	Steven
mus14	Joachim
mus15	Sabrina
mus16	Greta
mus17	Missy
mus18	Mozzar
mus19	Shimi
ocp00	Octave
ocp01	Marina
ocp02	Marvin
ocp04	Octoborg
ost00	Reine
ost01	Gladys
ost02	Ottie
ost03	Laflèche
ost04	Estrella
ost05	Julie
ost06	Gabin
ost07	Phil
ost08	Sophie
ost09	Justine
ost10	Faustine
pbr00	Apollon
pbr01	Aurélie
pbr02	Napoléon
pbr03	Phébus
pbr05	Faust
pbr06	Greggae
pbr07	Manfred
pbr08	Enzo
pbr09	Garance
pbr10	Astair
pgn00	Aurore
pgn01	Reynald
pgn02	Cube
pgn03	Victor
pgn04	Friga
pgn05	Gwen
pgn06	Hervé
pgn07	Zinzin
pgn09	Miglou
pgn10	Ethan
pgn11	Urbain
pgn12	Émilien
pgn13	Nora
pgn14	Laurie
pig00	Tirbou
pig01	Trufa
pig02	Salami
pig03	Bonno
pig04	Lucie
pig05	Justin
pig08	Porken
pig09	Boris
pig10	Marjorie
pig11	Rose
pig13	Camille
pig14	Aaron
pig15	Jean-Bon
pig16	Lydie
pig17	Pansy
rbt00	Clara
rbt01	Dorothée
rbt02	Coco
rbt03	Jeannot
rbt04	Gaston
rbt05	Gaby
rbt06	Nadia
rbt07	Tiphaine
rbt08	Kali
rbt09	Rubis
rbt10	Doc
rbt11	Claude
rbt12	Nadine
rbt13	Kristine
rbt14	Grignote
rbt15	Civet
rbt16	Zoé
rbt17	Sylvette
rbt18	Épicure
rbt19	Grisette
rbt20	Toby
rbt21	Alix
rhn00	Ben
rhn01	Renée
rhn02	Rhino
rhn04	Cornio
rhn05	Azalée
rhn07	Patty
rhn08	Rina
shp00	Hélaine
shp01	Bêêtty
shp02	Bérénice
shp03	Bigoudi
shp04	Cashmir
shp07	Maï
shp08	Tonton
shp09	Karen
shp10	Sélène
shp11	Clarabêl
shp12	Charlène
shp13	Pietro
shp14	Étoile
shp15	Bouloche
squ00	Rachida
squ01	Cachou
squ02	Filibert
squ03	Pécan
squ04	Lola
squ05	Ninjette
squ06	Isabelle
