ant00	Cirano
ant01	Antonio
ant02	Carlotta
ant03	Annalisa
ant05	Zoe
ant06	Lucrezia
ant08	Anita
ant09	Ettore
bea00	Teddy
bea01	Pinky
bea02	Curt
bea03	Chowchow
bea05	Gianni
bea06	Groucho
bea07	Lola
bea08	Ursula
bea09	Grizzly
bea10	Bruna
bea11	Ortensio
bea12	Orsola
bea13	Barnaba
bea14	Maciste
bea15	Dolcinia
brd00	Jet
brd01	Rossana
brd02	Acciuga
brd03	Titti
brd04	Brivido
brd05	Giuliva
brd06	Adolfo
brd08	Minù
brd09	Asso
brd11	Valerio
brd15	Loreto
brd16	Zampiero
brd17	Gheppio
brd18	Piumardo
bul00	Angus
bul01	Rodeo
bul03	Carlos
bul05	Victor
bul07	Ercole
bul08	Paco
cat00	Bob
cat01	Zampetta
cat02	Grinfia
cat03	Micina
cat04	Kiki
cat05	Arancina
cat06	Felix
cat07	Felidia
cat08	Moe
cat09	Kabuki
cat10	Zampa
cat11	Marylin
cat12	Lisca
cat13	Puzzolo
cat14	Ester
cat15	Isidoro
cat16	Katy
cat17	Milly
cat18	Maty
cat19	Cleo
cat20	Gomitolo
cat21	Ofelia
cat23	Raimondo
cbr00	Azzurra
cbr01	Dulcinea
cbr02	Poncho
cbr03	Tombolo
cbr04	Salomone
cbr05	Toppetta
cbr06	Vladimir
cbr07	Marcello
cbr09	Olivia
cbr10	Bonbon
cbr13	June
cbr14	Mina
cbr15	Clemente
cbr16	Placido
cbr17	Tamara
cbr18	Marty
cbr19	Misuzu
chn00	Chiricò
chn01	Biagio
chn02	Chicco
chn05	Ava
chn09	Annetta
chn10	Cocca
chn11	Kalin
chn12	Concetta
chn13	Aligalli
cow00	Patty
cow01	Tipper
cow06	Norma
cow07	Melina
crd00	Alfonso
crd01	Alli
crd02	Crocco
crd04	Krokki
crd05	Ulfo
crd06	Driberto
crd07	Codrilla
crd08	Dragonio
der00	Cervina
der01	Cornelio
der02	Antilio
der03	Arturo
der04	Daria
der05	Lopez
der06	Fuxia
der07	Gigi
der08	Diana
der09	Cervasio
der10	Chelsea
der11	Sakura
dog00	Dora
dog01	Attila
dog02	Felice
dog03	Buffetto
dog04	Tobia
dog05	Porzia
dog06	Walter
dog07	Fiorella
dog08	Briciola
dog09	Cristina
dog10	Cucciola
dog11	Lionello
dog14	Teo
dog15	Giosuè
dog16	Bernardo
dog17	Amarena
dog18	Frangino
duk00	Gino
duk01	Pino
duk02	Camilla
duk03	Palmita
duk04	Dina
duk05	Erica
duk06	Sofia
duk07	Semola
duk08	Mike
duk09	Drago
duk10	Guizzo
duk11	Pasquale
duk12	Miranda
duk13	Ketchup
duk15	Pappy
duk16	Molly
duk17	Verdonio
elp00	Opal
elp01	Annibale
elp02	Grande C
elp03	Eloisa
elp04	Marianna
elp05	Paolino
elp06	Sandro
elp07	Elly
elp09	Sventolo
elp10	Fanny
elp11	Chai
elp12	Sid
flg00	Gigliola
flg01	Ranabot
flg02	Froberto
flg03	Crambo
flg04	Prospero
flg05	Porro
flg06	Grazia
flg07	Geremia
flg09	Achille
flg10	Jacques
flg11	Berto
flg12	Principe
flg13	Giada
flg15	Massimo
flg16	Raganà
flg17	Gracido
flg18	Viola
flg19	Renato
goa00	Diletta
goa01	Nan
goa02	Billy
goa04	Capriolé
goa06	Belarda
goa07	Vittorio
