00079_0	無地ホワイト
00079_1	ベージュ
00079_2	ピンク
00079_3	イエロー
00079_4	グリーン
00079_5	ブルー
00079_6	ブラック
00725_0	無地
00725_1	春
00725_2	夏
00725_3	秋
00725_4	冬
00767_0	ブルー
00767_1	グリーン
00767_2	ピンク
00767_3	オレンジ
00767_4	レッド
00767_5	イエロー
00767_6	ホワイト
00767_7	ミント
00769_0	グルメ
00769_1	図鑑
00769_2	ミュージック
00769_3	リゾート
00769_4	スポーツ
00769_5	キッズ
00769_6	クルマ
00769_7	トラベル
00833_0	なし
00833_1	クール
00833_2	キュート
00833_3	ポップ
00833_4	メッセージ
00854_0	ブルー
00854_1	グリーン
00854_2	ピンク
00854_3	オレンジ
00854_4	レッド
00854_5	イエロー
00854_6	ホワイト
00854_7	ブラック
00856_0	グリーン
00856_1	イエロー
00856_2	ピンク
00856_3	ベージュ
00856_4	ブルー
00859_0	ポップ
00859_1	メルヘン
00859_2	ビタミン
00859_3	パステル
00859_4	レッド
00859_5	ブルー
00859_6	イエロー
00859_7	グリーン
00922_0	なし
00922_1	ブルーロゴ
00922_2	ホワイトロゴ
00922_3	オレンジ
00922_4	リンゴ
00922_5	モモ
00922_6	ナシ
00922_7	さくらんぼ
00941_0	なし
00941_1	おなじみのロゴ
00941_2	シックなロゴ
00941_3	ハードなロゴ
00941_4	エンブレムなロゴ
00941_5	スクリプトなロゴ
00941_6	ポップなロゴ
00941_7	キュートなロゴ
00950_0	なし
00950_1	おなじみのロゴ
00950_2	シックなロゴ
00950_3	ハードなロゴ
00950_4	エンブレムなロゴ
00950_5	スクリプトなロゴ
00950_6	ポップなロゴ
00950_7	キュートなロゴ
00952_0	ポップ
00952_1	ストリート
00952_2	ドリーム
00952_3	レトロ
00952_4	デンジャー
00952_5	アングラ
00959_0	花派
00959_1	チョキ派
00959_2	マンタロー派
00960_0	サカナ派
00960_1	パー派
00960_2	ウツホ派
00961_0	ムシ派
00961_1	グー派
00961_2	フウカ派
01029_0	無地
01029_1	春
01029_2	夏
01029_3	秋
01029_4	冬
01032_0	カフェ
01032_1	トラベルガイド
01032_2	ファッション誌
01032_3	スポーツ誌
01032_4	コミック誌
01032_5	キッズ誌
01032_6	週刊誌
01035_0	デザイン誌
