ant00	でごわす
ant01	ホントに
ant02	だっしー
ant03	マジでー
ant05	ハフーン
ant06	たもれ
ant08	をかし
ant09	ムーチョ
bea00	ですたい
bea01	わぉ
bea02	ウム
bea03	アルヨ
bea05	んだ
bea06	ワォー
bea07	ファイト
bea08	やーねぇ
bea09	だクマ
bea10	ヤッホー
bea11	ボウズ
bea12	よいしょ
bea13	オッホン
bea14	オパー
bea15	ぺろ
brd00	でおます
brd01	さ
brd02	でシ
brd03	ッピ
brd04	だニョ
brd05	けどー
brd06	ってか
brd08	キョン
brd09	でヤス
brd11	っつーの
brd15	カァー
brd16	チェケラ
brd17	ブン
brd18	だチュン
bul00	ふふ
bul01	さすがに
bul03	だなっす
bul05	だっぺ
bul07	ジョリッ
bul08	モイ
cat00	ネコ
cat01	ニャー
cat02	チェキ
cat03	なんやん
cat04	だニ
cat05	みかん
cat06	だのら
cat07	ふんっ
cat08	な
cat09	ぃよぉー
cat10	とぉっ
cat11	ウフーン
cat12	にゃは
cat13	ダァーッ
cat14	フフ
cat15	ナックル
cat16	にゃん
cat17	ね
cat18	あのね
cat19	クフフ
cat20	とかナ
cat21	じゃね
cat23	キリッ
cbr00	キュン
cbr01	だベア
cbr02	モン
cbr03	んもう
cbr04	のこころ
cbr05	なのれす
cbr06	やんけ
cbr07	ですばい
cbr09	マグ
cbr10	なんてね
cbr13	アルネ
cbr14	チャ
cbr15	だバンブ
cbr16	いっそ
cbr17	だってサ
cbr18	ポムッ
cbr19	あらら
chn00	だコケ
chn01	ウヒョー
chn02	だヨ
chn05	のよぉ
chn09	ハレルヤ
chn10	どうだい
chn11	せいッ
chn12	ケッコー
chn13	コッケイ
cow00	だモー
cow01	ミルミル
cow06	うふ
cow07	セボーン
crd00	だワニ
crd01	どすえ
crd02	だぴょん
crd04	プシュー
crd05	パヨマケ
crd06	カサコソ
crd07	ワニャン
crd08	えーと
der00	でしか
der01	ナラね
der02	たしかに
der03	しかしな
der04	まいっか
der05	がぜん
der06	なんしか
der07	おろおろ
der08	でしょ
der09	しかじか
der10	メロメロ
der11	とにかく
dog00	ワン
dog01	ノン
dog02	らしいよ
dog03	だイヌ
dog04	ネッ
dog05	フンッ
dog06	バウ
dog07	だよね
dog08	プリリン
dog09	ワンツー
dog10	グー
dog11	ったく
dog14	モグ
dog15	なんじゃ
dog16	ではでは
dog17	だってネ
dog18	ワンダー
duk00	だね
duk01	でヤンス
duk02	メソメソ
duk03	ふぅ
duk04	マル
duk05	だっピ
duk06	ヨネ
duk07	ぎょぎょ
duk08	ね！ママ
duk09	かもね
duk10	グワッ
duk11	ピヨ
duk12	なにさ
duk13	プチ
duk15	ぎゃくに
duk16	そうかも
duk17	マジかよ
elp00	ヨン
elp01	だゾウ
elp02	うりゃー
elp03	ルン
elp04	シャララ
elp05	パオ
elp06	でゴンス
elp07	ララン
elp09	もじゃ
elp10	ホッ
elp11	ロルロル
elp12	ウス
flg00	でちゅ
flg01	だロボ
flg02	クルリ
flg03	わい
flg04	ゲロゲロ
flg05	だぎゃ
flg06	っちゃ
flg07	にゃむ
flg09	だよん
flg10	のことよ
flg11	とかー
flg12	ですだ
flg13	ですわよ
flg15	へくしっ
flg16	ベイビィ
flg17	しからば
flg18	ハーン
flg19	むにゃ
goa00	っぺ
goa01	っしょ
goa02	よのう
goa04	イェーイ
goa06	ザーマス
goa07	はぁ～
goa08	かな
goa09	ふわぁ
gor00	ウホウホ
gor01	ガオ
gor02	ウルトラ
gor04	コング
gor05	おうおう
gor07	アイヤ
gor08	ウヒョッ
gor09	そりゃっ
gor10	いえてる
gor11	ハロー
ham00	ハム
ham01	キュルン
ham02	ですぞ
ham03	ヒュー
ham04	だってば
ham05	どきどき
ham06	なのです
ham07	カーッ
ham09	じゃけえ
hip00	だぎゃー
hip02	でガンス
hip03	そうです
hip04	じゃけん
hip05	だピー
hip08	でっせ
hip09	イェス
hrs00	なんちて
hrs01	いくわよ
hrs02	ってば
hrs03	だヒヒン
hrs04	ブルル
hrs05	みゃあ
hrs06	じゃない
hrs07	あそばせ
hrs08	だポン
hrs09	サヴァ
hrs10	ぴろぴろ
hrs11	ごらんよ
hrs12	だっけ
hrs13	ね、キミ
hrs16	スン
kal00	アラ
kal01	キラリ
kal02	とっても
kal03	だコアラ
kal04	だがや
kal05	ククッ
kal07	サクッ
kal08	え～
kal09	わ～い
kal10	おいおい
kgr00	ッポン
kgr01	ッハ
kgr02	だフン
kgr05	だパンク
kgr06	よねー
kgr08	じゃのう
kgr09	やるぜ
kgr10	いいのよ
lon00	メ～ン
lon01	ダロガ
lon02	だオン
lon04	よな
lon06	ハハハ
lon07	ナハッ
lon08	まさしく
mnk01	ウキャ
mnk02	でござる
mnk03	ワオ
mnk04	バナーナ
mnk05	だモン
mnk06	どっこい
mnk07	ウキキ
mnk08	だぜ
mnk09	ハオハオ
mus00	だべ
mus01	てやんで
mus02	ギャハッ
mus03	なーんて
mus04	チュー
mus05	すっげぇ
mus08	ですワ
mus09	がってん
mus10	ルンルン
mus12	ピコ
mus14	にゃろ
mus15	ですよね
mus16	おほほ
mus17	でちゅの
mus18	まあね
mus19	ふむふむ
ocp00	タコ
ocp01	きゃ
ocp02	せやねん
ocp04	チュドン
ost00	やっぱし
ost01	ですの
ost02	だチョー
ost03	だメカ
ost04	リン
ost05	やだわね
ost06	およよ
ost07	ホロロ
ost08	ですのね
ost09	だミン
ost10	アツイわ
pbr00	だワイ
pbr01	カラカラ
pbr02	バサバサ
pbr03	ッキーッ
pbr05	アリョイ
pbr06	ダンケ
pbr07	やあッ
pbr08	でーッス
pbr09	そうね
pbr10	しっかり
pgn00	だジョー
pgn01	だペン
pgn02	ペンペン
pgn03	ちぅねん
pgn04	ツルルン
pgn05	ウフフ
pgn06	さぶー
pgn07	ブツブツ
pgn09	だからね
pgn10	ツーツツ
pgn11	クルクル
pgn12	ベイベッ
pgn13	じゃんよ
pgn14	ヒヤリ
pig00	どもども
pig01	だわさ
pig02	まんねん
pig03	とかね
pig04	よぅ
pig05	だブー
pig08	でアール
pig09	ブヒッ
pig10	うん
pig11	ぷるる
pig13	ちゃりん
pig14	だトン
pig15	ウリウリ
pig16	やだも～
pig17	ブフフ
rbt00	みたいな
rbt01	ラン
rbt02	はにょ
rbt03	ニンニン
rbt04	ムホッ
rbt05	だっち
rbt06	なのサ
rbt07	ってさ
rbt08	まろ
rbt09	フツーに
rbt10	ですね
rbt11	ぶいぶい
rbt12	ルララ
rbt13	リララ
rbt14	ぷぅ
rbt15	アミーゴ
rbt16	まじで
rbt17	ヤバッ
rbt18	そうさね
rbt19	だムーン
rbt20	けろけろ
rbt21	くりりん
rhn00	ですサイ
rhn01	ンフ
rhn02	でヤンキ
rhn04	のネン
rhn05	メルシー
rhn07	でシュガ
rhn08	パネェ
shp00	なのね
shp01	アンドゥ
shp02	メェー
shp03	ウール
shp04	ありんす
shp07	ですのよ
shp08	ベイビー
shp09	イシシ
shp10	まつわ
shp11	だポテ
shp12	おつかれ
shp13	グフフ
shp14	ふわもこ
shp15	ふんふん
squ00	なのよ
squ01	ふふん
squ02	でしゅ
squ03	つんっ
squ04	ガジガジ
squ05	せいやっ
squ06	ユー
squ07	ったら
squ08	ピカッ
squ09	うっふん
squ10	キッ
squ11	ララー
squ13	やるわね
squ14	ひゅん
squ15	デス
squ16	クリクリ
squ17	あながち
squ18	だもんね
squ21	キラキラ
tig00	だガー
tig01	まったく
tig02	だトラ
tig03	なのぉー
tig04	じゃが
tig05	アハ～ン
tig06	でヒョウ
wol00	やんか
wol01	だぜよ
wol02	のな
wol03	ステキね
wol04	ゴホゴホ
wol05	なのだわ
wol06	ですダス
wol08	だわよ
wol09	フワワ
wol10	オゥイェ
wol12	アハッ
