ant00	사지마
ant01	퍼머거
ant02	패트라
ant03	아롱이
ant05	소면
ant06	스누티
ant08	설백
ant09	안토니오
bea00	병태
bea01	링링
bea02	뚝심
bea03	츄양
bea05	박하스
bea06	거무틱
bea07	연유
bea08	네이아
bea09	무뚝
bea10	레이첼
bea11	대공
bea12	챠미
bea13	베어드
bea14	곰도로스
bea15	캔디
brd00	참돌이
brd01	파틱
brd02	안쵸비
brd03	핀틱
brd04	딩요
brd05	파이프
brd06	일섭
brd08	핑글이
brd09	페더
brd11	야곱
brd15	마스카라스
brd16	쪼끼
brd17	문대
brd18	춘섭
bul00	반데스
bul01	로데오
bul03	모리스
bul05	티본
bul07	철소
bul08	노르망
cat00	히죽
cat01	마르
cat02	부케
cat03	올리비아
cat04	캐비어
cat05	백프로
cat06	빙티
cat07	타마
cat08	진상
cat09	가북희
cat10	1호
cat11	제인
cat12	호냥이
cat13	땀띠
cat14	쇼콜라
cat15	밴덤
cat16	유네찌
cat17	예링
cat18	사이다
cat19	클레오
cat20	찰스
cat21	쵸이
cat23	잭슨
cbr00	글루민
cbr01	메이첼
cbr02	봉추
cbr03	우띠
cbr04	아이다호
cbr05	패치
cbr06	곰비
cbr07	머피
cbr09	올리브
cbr10	아세로라
cbr13	메이
cbr14	재스민
cbr15	팬타
cbr16	곰시
cbr17	아네사
cbr18	마티
cbr19	미애
chn00	건태
chn01	페니실린
chn02	김희
chn05	에바
chn09	아리아
chn10	파타야
chn11	금끼오
chn12	히킨
chn13	오골
cow00	밀크
cow01	마틸다
cow06	미자
cow07	화자
crd00	알베르트
crd01	크로크
crd02	풍작
crd04	파도맨
crd05	삐로코
crd06	하이드
crd07	앨리
crd08	용남이
der00	솔미
der01	록키
der02	넬슨
der03	브루스
der04	나디아
der05	톰슨
der06	제시카
der07	피터
der08	나탈리
der09	자끄
der10	첼시
der11	요비
dog00	카라멜
dog01	존
dog02	럭키
dog03	로빈
dog04	토미
dog05	블랜더
dog06	벤
dog07	바닐라
dog08	베리
dog09	마롱
dog10	베이글
dog11	샹펜
dog14	챔프
dog15	에드워드
dog16	땡칠이
dog17	한나
dog18	밥
duk00	코코아
duk01	리처드
duk02	나키
duk03	앤
duk04	마리모
duk05	주디
duk06	스미모
duk07	다랑어
duk08	봉
duk09	푸아그라
duk10	지키미
duk11	아잠만
duk12	미란다
duk13	케첩
duk15	마릴린
duk16	귀오미
duk17	덕근
elp00	오팔
elp01	휴지
elp02	3호
elp03	엘레핀
elp04	샐리
elp05	파올로
elp06	엑스엘리
elp07	에끌레르
elp09	맘모
elp10	티나
elp11	피카
elp12	펑크스
flg00	레이니
flg01	철컥
flg02	구리구리
flg03	충성
flg04	덕
flg05	샘
flg06	가위
flg07	드리미
flg09	텀보
flg10	왕서방
flg11	스트로
flg12	카일
flg13	에스메랄다
flg15	개군
flg16	린다
flg17	투투
flg18	아이다
flg19	헨리
goa00	윤이
goa01	순이
goa02	힘드러
goa04	빌리
goa06	벨마
goa07	염두리
goa08	바바라
goa09	래미
gor00	앨런
gor01	덤벨
gor02	만복이
gor04	머슬
gor05	보이드
gor07	줌마
gor08	우락
gor09	4호
gor10	스나일
gor11	릴라
ham00	햄스틴
ham01	애플
ham02	글라햄
ham03	지미
ham04	샨티
ham05	햄둥
ham06	뽀야미
ham07	햄쥐
ham09	보스터
hip00	곤잘레스
hip02	차코
hip03	베티
hip04	가브리엘
hip05	비티
hip08	올리버
hip09	데이빗
hrs00	바야시코프
hrs01	센트엘로
hrs02	사반나
hrs03	샤브렌
hrs04	슈베르트
hrs05	카로틴
hrs06	꺼벙
hrs07	아이소토프
hrs08	말자
hrs09	실부플레
hrs10	마철이
hrs11	안소니
hrs12	마사마
hrs13	유니오
hrs16	리아나
kal00	유카리
kal01	멜버른
kal02	아델레이드
kal03	시드니
kal04	근성
kal05	동동이
kal07	마치
kal08	캔버라
kal09	오즈먼드
kal10	코알
kgr00	애플리케
kgr01	안젤라
kgr02	마미
kgr05	펑키맘
kgr06	실비아
kgr08	관록
kgr09	마이크
kgr10	마리아
lon00	선글
lon01	킹
lon02	렉스
lon04	티처
lon06	릭
lon07	아더
lon08	라이오넬
mnk01	키키
mnk02	시몬
mnk03	에이프릴
mnk04	몽티
mnk05	몽자
mnk06	원승
mnk07	젤리
mnk08	델리
mnk09	제천
mus00	티미
mus01	단무지
mus02	이자벨
mus03	사라
mus04	피스
mus05	쟝
mus08	사탕
mus09	조르쥐
mus10	라자냐
mus12	브로콜리
mus14	핑
mus15	마르카
mus16	복자
mus17	찍순이
mus18	치즈
mus19	리카
ocp00	문복
ocp01	문리나
ocp02	탁호
ocp04	기가
ost00	택주
ost01	빅토리아
ost02	샌디
ost03	헤르츠
ost04	데자네
ost05	줄리아
ost06	타키
ost07	케인
ost08	신옥
ost09	플라라
ost10	휘니
pbr00	아폴로
pbr01	안데스
pbr02	세바스찬
pbr03	근엄
pbr05	쿠스케처
pbr06	헐크
pbr07	은수리
pbr08	프랭크
pbr09	티파니
pbr10	시온
pgn00	오로라
pgn01	펭수
pgn02	빙수
pgn03	달만이
pgn04	사브리나
pgn05	폴라
pgn06	하키
pgn07	펭구
pgn09	호떡
pgn10	팽기
pgn11	김말이
pgn12	볼트
pgn13	레이라
pgn14	크리미
pig00	햄까스
pig01	탱고
pig02	글레이
pig03	먹고파
pig04	루시
pig05	포크
pig08	박사
pig09	보리
pig10	마가렛
pig11	체리
pig13	꽃지
pig14	돈후앙
pig15	멧지
pig16	브리트니
pig17	아그네스
rbt00	릴리안
rbt01	서머
rbt02	이요
rbt03	닌토
rbt04	대길
rbt05	패티카
rbt06	로타
rbt07	바슬레
rbt08	토시
rbt09	루나
rbt10	토니
rbt11	비니거
rbt12	프랑소와
rbt13	크리스틴
rbt14	홉킨스
rbt15	산토스
rbt16	초코
rbt17	미미
rbt18	아마민
rbt19	미랑
rbt20	토비
rbt21	미첼
rhn00	탱크
rhn01	론다
rhn02	스쿼트
rhn04	뿌람
rhn05	페튜니아
rhn07	스트로베리
rhn08	뿔님이
shp00	메리어스
shp01	트로와
shp02	곱슬이
shp03	아크릴
shp04	캐시미어
shp07	마리
shp08	카를로스
shp09	눈송이
shp10	잔디
shp11	웬디
shp12	프릴
shp13	피엘
shp14	에뜨와르
shp15	차둘
squ00	핑키
squ01	실루엣
squ02	리키
squ03	레베카
squ04	그리미
squ05	2호
squ06	캐롤라인
squ07	라라미
squ08	스파크
squ09	민트
squ10	갈가리
squ11	파슬리
squ13	나타샤
squ14	실바나
squ15	다람
squ16	크리스
squ17	쭈니
squ18	아이리스
squ21	스피카
tig00	호랭이
tig01	고메스
tig02	티볼트
tig03	루주
tig04	범호
tig05	신디
tig06	백희
wol00	대장
wol01	늑태
wol02	로보
wol03	비앙카
wol04	켄
wol05	산드라
wol06	시베리아
wol08	바네사
wol09	릴리
wol10	리카르도
wol12	모니카
alp	리포
alw	리사
bev	뚱달
bey	저스틴
boa	무파라
boc	무파니
bpt	마추릴라
chm	멜레옹
chy	레온
cml	사하라
cmlB	사하라
dga	경찰관
dgb	경찰관
doc	로드리
dod	모리
fox	여욱
fsl	파론티노
grf	그레이스
gstA	깨빈
gstB	깨빈
gul	죠니
gulB	해적
hgc	고숙이
hgh	고순이
hgs	고옥이
kpg	귀녀
kpm	갑순
kpp	갑돌
kps	꼬미
lom	미야
man	너티
mka	아트고양이
mnc	방글
mnk	역무원
mob	오루묵씨
mol	도루묵씨
otg	솜이
otgB	솜이
ott	안심해씨
owl	부엉
ows	부옥
pck	베르리나
pge	마스터
pgeB	마스터
pkn	펌킹
plk	펠리
plm	펠리미
plo	펠리오
poo	카트리나
pooB	카트리나
pyn	토빗
rcm	콩돌이
rco	너굴
rct	밤돌이
rei	루돌
seo	해탈한
skk	패트릭
slo	늘봉
spn	파니엘
sza	여울
szo	켄트
tap	몽셰르
tkkA	K.K.
tkkB	DJ K.K.
ttlA	고북
ttlB	도토리옹
tuk	프랭클린
upa	스승
wrl	고파유
xct	낯선고양이
