00079_0	无图案白色
00079_1	米色
00079_2	粉红
00079_3	黄色
00079_4	绿色
00079_5	蓝色
00079_6	黑色
00725_0	无图案
00725_1	春
00725_2	夏
00725_3	秋
00725_4	冬
00833_0	无
00833_1	冷色
00833_2	可爱色
00833_3	缤纷色
00833_4	信息
00922_0	无
00922_1	蓝色Logo
00922_2	白色Logo
00922_3	橘子
00922_4	苹果
00922_5	桃子
00922_6	梨子
00922_7	樱桃
00941_0	无
00941_1	熟悉的标志
00941_2	典雅的标志
00941_3	坚硬的标志
00941_4	纹章的标志
00941_5	手写体的标志
00941_6	流行的标志
00941_7	可爱的标志
00950_0	无
00950_1	熟悉的标志
00950_2	典雅的标志
00950_3	坚硬的标志
00950_4	纹章的标志
00950_5	手写体的标志
00950_6	流行的标志
00950_7	可爱的标志
01029_0	无图案
01029_1	春
01029_2	夏
01029_3	秋
01029_4	冬
01032_0	咖啡
01032_1	旅游指南
01032_2	时尚杂志
01032_3	体育杂志
01032_4	漫画杂志
01032_5	儿童杂志
01032_6	周刊
01133_0	蓝色
01133_1	红色
01133_2	黄色
01133_3	绿色
01222_0	家庭影片
01222_1	科幻电影
01222_2	歌曲节目
01222_3	动画
01235_0	无
01235_1	礼仪海报
01235_2	募集传单
01235_3	旅行传单
01235_4	涂鸦&贴纸
01499_0	无
01499_1	红色
01499_2	蓝色
01499_3	黄色
01500_0	无
01500_1	红色粗横纹
01500_2	蓝色粗横纹
01500_3	黄色粗横纹
01501_0	无
01501_1	爱心
01501_2	鱼儿
01501_3	星星
01504_0	无
01504_1	白色
01504_2	特大圆点
01504_3	特大粗横纹
01608_0	寿司
01608_1	中华
01608_2	烘焙
01608_3	快餐
01608_4	冰淇淋
01608_5	OPEN
01608_6	产地直送
01608_7	家徽
01620_0	彩色
01620_1	伪装
01620_2	扶桑花
01620_3	白色
01644_0	无
01644_1	熟悉的标志
01644_2	典雅的标志
01644_3	坚硬的标志
01644_4	纹章的标志
01644_5	手写体的标志
01644_6	流行的标志
01644_7	可爱的标志
01645_0	无
01645_1	熟悉的标志
01645_2	典雅的标志
01645_3	坚硬的标志
01645_4	纹章的标志
01645_5	手写体的标志
01645_6	流行的标志
01645_7	可爱的标志
01712_0	陶艺展海报
01712_1	绘画展海报
01712_2	艺术展海报
01712_3	爵士演奏海报
01712_4	演唱会海报
01712_5	音乐会海报
01712_6	电影海报
01712_7	摄影展海报
01745_0	图表资料
01745_1	文本资料
01745_2	出货单
01745_3	漫画原稿
01745_4	乐谱
01750_0	图表资料
01750_1	文本资料
01750_2	答题纸
01750_3	分镜
01778_0	无图案
01778_1	运动服
01778_2	鱼
01778_3	胡萝卜
01779_0	白色
01779_1	棕色
01779_2	绿色
01779_3	红色
01779_4	粉红
01779_5	黄色
