ant00	有的
ant01	真诚
ant02	希希
ant03	真的假的
ant05	粉粉
ant06	麻烦了
ant08	优雅
ant09	欧啦
bea00	太好了
bea01	哇喔
bea02	嗯唔
bea03	有喔
bea05	嗯是
bea06	哇哇
bea07	加油
bea08	呀呐
bea09	熊熊
bea10	耶呼
bea11	施主
bea12	唷咻
bea13	咳咳
bea14	Over
bea15	舔舔
brd00	呢喃
brd01	喳
brd02	如斯
brd03	叽
brd04	诺诺
brd05	山雀
brd06	贯彻
brd08	脸红
brd09	是也
brd11	话说
brd15	嘎
brd16	唷唷唷
brd17	噗噗
brd18	啁啁
bul00	呼呼
bul01	了不起
bul03	奔驰
bul05	是呗
bul07	胡渣
bul08	哞
cat00	猫猫
cat01	喵
cat02	看看
cat03	什么
cat04	酱酱
cat05	蜜柑
cat06	晃晃
cat07	嗯嗯
cat08	呐
cat09	咦唷
cat10	喝
cat11	嗯哼
cat12	喵吼
cat13	打啊
cat14	古古
cat15	切
cat16	喵嗯
cat17	哪
cat18	娜个
cat19	尼罗
cat20	之类的
cat21	掰掰
cat23	严肃
cbr00	怦怦
cbr01	熊仔
cbr02	萌
cbr03	真是的
cbr04	精神
cbr05	玩玩
cbr06	唉唷
cbr07	罢了
cbr09	马克杯
cbr10	开玩笑的
cbr13	有耶
cbr14	佳佳
cbr15	竹子
cbr16	算了
cbr17	竟然说
cbr18	布丁
cbr19	哎呀
chn00	咕咕
chn01	好棒
chn02	很优
chn05	是唷
chn09	哈雷路亚
chn10	泰泰
chn11	等待
chn12	咯咯
chn13	骨鸡
cow00	牟
cow01	牛奶
cow06	微笑
cow07	这样很好
crd00	鳄泥
crd01	鳄鱼皮
crd02	跳
crd04	噗咻
crd05	吼吼
crd06	唰唰
crd07	鳄莉
crd08	然后
der00	小鹿
der01	梅花
der02	鹿营
der03	福鹿寿
der04	随便啦
der05	变了
der06	西卡
der07	怎么办
der08	是吧
der09	鹿鹿
der10	喜喜
der11	总芝
dog00	汪
dog01	侬
dog02	大概
dog03	狗狗
dog04	对吧
dog05	屋屋
dog06	咆
dog07	对不对
dog08	琳琳
dog09	一二
dog10	宾果
dog11	唉
dog14	摘
dog15	什么字
dog16	那么那么
dog17	听说娜
dog18	汪想想
duk00	蛋是啊
duk01	鸭鸭
duk02	呜呜
duk03	叹
duk04	球球
duk05	裴裴
duk06	八十八
duk07	鱼鱼
duk08	喂！妈妈
duk09	或许鸭
duk10	呱呱
duk11	唧唧
duk12	怎么回事
duk13	噗吱
duk15	相反
duk16	说不定鸭
duk17	说真的
elp00	勇
elp01	象象
elp02	哈啊
elp03	鲁鲁
elp04	莎啦啦
elp05	保罗
elp06	嘻嘻
elp07	啦啷
elp09	毛毛
elp10	呼
elp11	大耳
elp12	摇滚
