00079_0	白色花紋
00079_1	米色
00079_2	粉紅色
00079_3	黃色
00079_4	綠色
00079_5	藍色
00079_6	黑色
00725_0	無圖案
00725_1	春
00725_2	夏
00725_3	秋
00725_4	冬
00833_0	無
00833_1	清新
00833_2	可愛
00833_3	繽紛
00833_4	訊息
00922_0	無
00922_1	藍色Logo
00922_2	白色Logo
00922_3	橘子
00922_4	蘋果
00922_5	桃子
00922_6	梨子
00922_7	櫻桃
00941_0	無
00941_1	熟悉Logo
00941_2	典雅Logo
00941_3	硬派Logo
00941_4	徽章Logo
00941_5	手寫風Logo
00941_6	繽紛Logo
00941_7	可愛Logo
00950_0	無
00950_1	熟悉Logo
00950_2	典雅Logo
00950_3	硬派Logo
00950_4	徽章Logo
00950_5	手寫風Logo
00950_6	繽紛Logo
00950_7	可愛Logo
01029_0	無圖案
01029_1	春
01029_2	夏
01029_3	秋
01029_4	冬
01032_0	咖啡
01032_1	旅遊指南
01032_2	時尚雜誌
01032_3	運動雜誌
01032_4	漫畫雜誌
01032_5	兒童雜誌
01032_6	週刊
01133_0	藍色
01133_1	紅色
01133_2	黃色
01133_3	綠色
01222_0	家庭影片
01222_1	科幻電影
01222_2	歌曲節目
01222_3	動畫
01235_0	無
01235_1	禮儀海報
01235_2	募集傳單
01235_3	旅行傳單
01235_4	塗鴉&貼紙
01499_0	無
01499_1	紅色
01499_2	藍色
01499_3	黃色
01500_0	無
01500_1	紅色粗橫紋
01500_2	藍色粗橫紋
01500_3	黃色粗橫紋
01501_0	無
01501_1	愛心
01501_2	魚兒
01501_3	星星
01504_0	無
01504_1	白色
01504_2	特大點點
01504_3	特大粗橫紋
01608_0	壽司
01608_1	中華
01608_2	烘培
01608_3	速食
01608_4	冰淇淋
01608_5	OPEN
01608_6	產地直送
01608_7	家徽
01620_0	彩色
01620_1	迷彩
01620_2	扶桑花
01620_3	白色
01644_0	無
01644_1	熟悉Logo
01644_2	典雅Logo
01644_3	硬派Logo
01644_4	徽章Logo
01644_5	手寫風Logo
01644_6	繽紛Logo
01644_7	可愛Logo
01645_0	無
01645_1	熟悉Logo
01645_2	典雅Logo
01645_3	硬派Logo
01645_4	徽章Logo
01645_5	手寫風Logo
01645_6	繽紛Logo
01645_7	可愛Logo
01712_0	陶藝展海報
01712_1	繪畫展海報
01712_2	藝術展海報
01712_3	爵士演奏海報
01712_4	演唱會海報
01712_5	音樂會海報
01712_6	電影海報
01712_7	照片展海報
01745_0	圖表資料
01745_1	文字資料
01745_2	出貨單
01745_3	漫畫原稿
01745_4	樂譜
01750_0	圖表資料
01750_1	文字資料
01750_2	答案紙
01750_3	分鏡
01778_0	無圖案
01778_1	體育服
01778_2	魚
01778_3	胡蘿蔔
01779_0	白色
01779_1	棕色
01779_2	綠色
01779_3	紅色
01779_4	粉紅色
01779_5	黃色
01779_6	淺綠色
01779_7	淺藍色
01783_0	蘋果
01783_1	魚
01783_2	花朵
01792_0	白色
01792_1	花朵
01792_2	字母
01792_3	變形蟲圖騰
01792_4	彩虹
01792_5	繽紛
01802_0	柳橙汁
01802_1	運動飲料
01802_2	特賣
01802_3	可愛
01803_0	流暢白
01803_1	黑蠟
01803_2	黑色Logo
01803_3	白色Logo
01803_4	硬派Logo
01803_5	懷舊Logo
01816_0	白色
01816_1	紫色
01816_2	黑色
01816_3	黃色
01816_4	粉紅色
01816_5	紅色
01816_6	綠色
01816_7	藍色
01820_0	白色襯衫
01820_1	彩色襯衫
01820_2	條紋襯衫
01820_3	蕾絲領針織衫
01820_4	T恤
01820_5	毛衣
01838_0	白色
01838_1	黃色
01838_2	粉紅色
01838_3	藍色
01849_0	井字型
01849_1	花
01849_2	格子
01849_3	條紋
01850_0	桌面
01850_1	搜尋引擎
01850_2	試算表
01850_3	網路
01850_4	網購
01850_5	通訊軟體
01861_0	園藝雜誌
01861_1	旅遊指南
01861_2	時尚雜誌
01861_3	運動雜誌
01861_4	漫畫雜誌
01861_5	兒童雜誌
01861_6	週刊
01870_0	無
01870_1	四角形Logo
01870_2	圓形Logo
01870_3	魚
01870_4	胡蘿蔔
01870_5	起司
01899_0	音樂家簽名
01899_1	喜劇演員簽名
02020_0	自然白色
02020_1	導演黑色
02020_2	典雅皮質
02561_0	白色
02561_1	灰色
02561_2	粉紅色
02561_3	淺藍色
02561_4	黃色圖案
02561_5	綠色圖案
02561_6	橘色圖案
02561_7	海軍藍圖案
02587_0	白色
02587_1	藍色
02587_2	粉紅色
02587_3	綠色
02587_4	黃色
02605_0	橘色
02605_1	粉紅色
02605_2	藍色
02605_3	綠色
02606_0	無圖案
02606_1	紅色嘉頓格
02606_2	藍色嘉頓格
02606_3	綠色嘉頓格
02606_4	桃紅色嘉頓格
02606_5	檸檬嘉頓格
02713_0	無
02713_1	可愛
02713_2	搖滾
02713_3	水果
02713_4	告示貼紙
03200_0	海軍藍
03200_1	藍灰色
03200_2	棕色
03229_0	白色
03229_1	殘舊
03229_2	藍色條紋
03229_3	紅色格紋
03229_4	綠色格紋
03230_0	紅
03230_1	藍
03230_2	橘
03230_3	綠
03305_0	熊
03305_1	草莓
03305_2	蝴蝶
03305_3	火車
03305_4	腳印
03307_0	白色
03307_1	花朵
03307_2	波卡圓點
03307_3	黑色條紋
03307_4	黃色條紋
03439_0	無
03439_1	橘色
03439_2	粉紅色
03439_3	藍色
03439_4	綠色
03444_0	藍色
03444_1	紅色格紋
03444_2	綠色格紋
03444_3	米色
03444_4	彩色
03445_0	粗橫紋
03445_1	點點
03445_2	海軍藍
03445_3	三色
03449_0	無
03449_1	橘色
03449_2	粉紅色
03449_3	藍色
03449_4	綠色
03467_0	黃色
03467_1	藍色
03467_2	紅色
03467_3	灰色
03468_0	海軍風粗橫紋
03468_1	紅色條紋
03468_2	彩色
03468_3	貝殼色
03468_4	藍色
03468_5	黃色
03468_6	白色
03502_0	棕色
03502_1	白色
03502_2	灰色
03502_3	深棕色
03561_0	海軍藍
03561_1	貝殼粉紅
03586_0	美食
03586_1	車輛
03586_2	時尚
03586_3	戶外活動
03586_4	度假
03586_5	音樂
03586_6	偶像
03590_0	桌面
03590_1	搜尋引擎
03590_2	試算表
03590_3	網路
03590_4	程式
03590_5	繪圖軟體
03590_6	DAW軟體
03617_0	無
03617_1	綠色條紋
03617_2	紅色條紋
03617_3	彩色
03617_4	波浪
03618_0	紅色
03618_1	藍色
03618_2	黃色
03621_0	白色
03621_1	黑色
03621_2	淺藍色
03621_3	橘色
03621_4	黃色
03621_5	粉紅色
03621_6	綠色粗橫紋
03621_7	紅色粗橫紋
03622_0	青草色
03622_1	芥末黃
03622_2	桃紅色
03622_3	紫藍色
03692_0	寵物
03692_1	通緝犯
03692_2	廣告
03692_3	警告
03702_0	黃色
03702_1	藍色
03702_2	粉紅色
03946_0	白色
03946_1	黑色
03946_2	綠色
03946_3	藍色
03946_4	橘色
03946_5	淺木色
03946_6	黑木色
03947_0	白色
03947_1	黑色
03947_2	綠色
03947_3	藍色
03947_4	橘色
03947_5	淺木色
03947_6	黑木色
03965_0	白紙
03965_1	笑容
03965_2	蟲子
03965_3	靜物畫
04034_0	文件
04034_1	原稿紙
04034_2	插圖
04034_3	設計圖
04035_0	無
04035_1	基里姆
04035_2	奇約馬
04035_3	熊
04035_4	拼布
04036_0	無
04036_1	基里姆
04036_2	奇約馬
04036_3	熊
04036_4	拼布
04039_0	無
04039_1	基里姆
04039_2	奇約馬
04039_3	熊
04039_4	拼布
04040_0	無
04040_1	基里姆
04040_2	奇約馬
04040_3	熊
04040_4	拼布
04041_0	基里姆
04041_1	奇約馬
04041_2	熊
04041_3	拼布
04043_0	無
04043_1	基里姆
04043_2	奇約馬
04043_3	熊
04043_4	拼布
04044_0	無
04044_1	基里姆
04044_2	奇約馬
04044_3	熊
04044_4	拼布
04068_0	白色
04068_1	海軍藍
04068_2	粉紅色
04068_3	橘色
04068_4	綠色
04069_0	白色
04069_1	黑色
04069_2	紅色花朵
04069_3	藍色花朵
04069_4	綠色花朵
04069_5	黃色花朵
04069_6	粉紅色花朵
04101_0	文件
04101_1	圖表
04101_2	插圖
04101_3	訊息
04102_0	白色
04102_1	黑色
04102_2	藍色
04102_3	紅色
04102_4	黃色
04122_0	白紙
04122_1	故事漫畫
04122_2	4格漫畫
04140_0	黃色的油
04140_1	綠色動物
04140_2	黑色復古
04144_0	紅色線條
04144_1	藍色蜜蜂
04144_2	黑色數字
04196_0	人型
04196_1	手型‧人型
04196_2	圓型
04196_3	單車
04196_4	箭號
04196_5	愛心
04196_6	葉子
04308_0	日落
04308_1	陽光
04308_2	雪景
04308_3	深褐色街景
04308_4	城堡
04445_0	綠色
04445_1	黑色
04445_2	白色
04445_3	自然木色
05338_0	無圖案
05338_1	線條
05338_2	洞洞板
05338_3	橫條板子
05338_4	格子
05338_5	土牆
05338_6	水泥
05338_7	金色
05397_0	綠色
05397_1	紅色
05397_2	粉紅色
05397_3	黑色
05397_4	白色
05397_5	藍色
05397_6	黃色
05397_7	米色
07047_0	紫藍
07047_1	藍
07047_2	紅豆
07047_3	深綠
07047_4	金魚
07047_5	鶴
07047_6	金
07048_0	紫藍
07048_1	藍
07048_2	紅豆
07048_3	深綠
07048_4	金魚
07048_5	鶴
07048_6	金
07132_0	橘色
07132_1	粉紅色
07132_2	藍色
07132_3	綠色
07133_0	無
07133_1	橘色
07133_2	粉紅色
07133_3	藍色
07133_4	綠色
07150_0	綠色
07150_1	紅色
07150_2	藍色
07150_3	黑色
07150_4	黃色
07151_0	綠色
07151_1	紅色
07151_2	藍色
07151_3	黑色
07151_4	黃色
07152_0	綠色
07152_1	紅色
07152_2	藍色
07152_3	黑色
07152_4	黃色
07154_0	無
07154_1	水果
07154_2	懷舊
07154_3	古董
07154_4	小心輕放
07154_5	繽紛貼紙
07154_6	運送貼紙
07154_7	彩色貼紙
07282_0	書法
07282_1	山水
07282_2	魚
07282_3	雞
07282_4	花
07531_0	粗橫紋
07531_1	格紋
07531_2	點點
07531_3	葉子
07531_4	三角形
07681_0	格子
07681_1	金魚
07681_2	山茶花
07681_3	鎖
07682_0	格子
07682_1	金魚
07682_2	山茶花
07682_3	鎖
07802_0	白色
07802_1	青苔綠
07802_2	圓點圖案
07802_3	格子圖案
07802_4	碎花圖案
08096_0	無
08096_1	Logo
08096_2	日落
08096_3	隨機
08298_0	白色
08298_1	條紋
08298_2	格紋
08298_3	宇宙
08298_4	彩色線條
08760_0	綠色
08760_1	紅色
