ant00	陽明
ant01	阿誠
ant02	佩希
ant03	有美
ant05	米粉
ant06	貴妃
ant08	小雅
ant09	安東尼
bea00	太平
bea01	丹丹
bea02	鐵熊
bea03	朝陽
bea05	巴克思
bea06	爪爪
bea07	戀戀
bea08	妮雅
bea09	穆穆
bea10	瑞秋
bea11	大功
bea12	恰咪
bea13	熊大叔
bea14	熊戰士
bea15	糖果
brd00	阿燕
brd01	喳喳
brd02	鳳尾
brd03	嘰嘰
brd04	紀諾
brd05	麗婷
brd06	李徹
brd08	小酒窩
brd09	羽毛
brd11	余板
brd15	摔角鴉
brd16	趙奇
brd17	文雄
brd18	周之翔
bul00	施萬德
bul01	羅迪歐
bul03	毛樂時
bul05	羅宋
bul07	大常
bul08	盧爾曼
cat00	阿判
cat01	圓圓
cat02	彭花
cat03	奧莉
cat04	余子醬
cat05	純純
cat06	爾光
cat07	小玉
cat08	仁平
cat09	戈伍紀
cat10	阿一
cat11	珍珍
cat12	小虎
cat13	男子汗
cat14	朱古莉
cat15	阿邦
cat16	莎莎
cat17	美佳
cat18	檸檬娜
cat19	艷后
cat20	茶茶
cat21	巧巧
cat23	傑克
cbr00	娃娃
cbr01	小楓
cbr02	蓬蓬
cbr03	阿欽
cbr04	艾德豪
cbr05	玩具熊
cbr06	嘉弼
cbr07	憲雄
cbr09	畢克蘿
cbr10	櫻桃
cbr13	阿妹
cbr14	佳敏
cbr15	胖達
cbr16	阿西
cbr17	然姐
cbr18	瑪丁
cbr19	美玲
chn00	肯肯
chn01	沛希
chn02	黃金雞
chn05	陶米咕
chn09	詠旋
chn10	帕塔雅
chn11	金閣
chn12	凱西
chn13	烏骨雞
cow00	阿排
cow01	牧牧
cow06	晨曦
cow07	玉蘭
crd00	阿泥
crd01	鱷羅思
crd02	豐年
crd04	大和
crd05	皮隆孔
crd06	海德
crd07	愛莉
crd08	阿龍
der00	音音
der01	小健
der02	森森
der03	布鹿斯
der04	娣雅
der05	湯姆
der06	潔西卡
der07	彼得
der08	倪家莉
der09	查克
der10	雀兒喜
der11	佳芝
dog00	牛奶糖
dog01	約翰
dog02	大吉
dog03	羅賓
dog04	阿富
dog05	傅蘭
dog06	阿笨
dog07	香草
dog08	珮琳
dog09	麻蓉
dog10	貝果
dog11	祥平
dog14	金牌
dog15	文字燒
dog16	小八
dog17	花娜
dog18	包伯
duk00	皮蛋
duk01	李察
duk02	愛哭鬼
duk03	安妮
duk04	毬藻
duk05	海苔裴
duk06	蘇米
duk07	小鮪
duk08	阿坊
duk09	肥肝
duk10	阿守
duk11	卿德
duk12	米蘭達
duk13	番茄醬
duk15	素返真
duk16	亞美
duk17	何童
elp00	露露
elp01	巨巨
elp02	阿三
elp03	艾勒芬
elp04	莎莉
elp05	保羅
elp06	大大
elp07	泡芙
elp09	阿原
elp10	茉莉
elp11	啡卡
elp12	龐克斯
flg00	雷妮
flg01	鏘鏘
flg02	江適
flg03	迷仔
flg04	毒仔
flg05	山姆
flg06	剪刀
flg07	阿刻
flg09	阿田
flg10	春卷
flg11	吸管
flg12	青呱
flg13	翡翠
flg15	嘉俊
flg16	林妲
flg17	太子
flg18	小睫
flg19	亨利
goa00	雪兒
goa01	墨墨
goa02	亞星
goa04	比利
goa06	班長
goa07	文青
goa08	芭芭拉
goa09	雷姆
gor00	阿朗
gor01	啞鈴
gor02	萬泰
gor04	壯壯
gor05	空空
gor07	吳紫眉
gor08	阿保
gor09	阿四
gor10	史奈魯
gor11	莉拉
ham00	哈姆
ham01	蘋果
ham02	麥麥
ham03	米米
ham04	安安
ham05	子墨
ham06	雪美
ham07	小倉
ham09	胖督
hip00	孔在來
hip02	曹珂
hip03	豆沙
hip04	賈寶為
hip05	艾咪
hip08	歐世豪
hip09	戴維
hrs00	威亞
hrs01	聖蘿
hrs02	草斑娜
hrs03	酥餅
hrs04	黑馬
hrs05	馬星星
hrs06	馬譽
hrs07	小鈾
hrs08	小薰
hrs09	舒芙蕾
hrs10	笛笛
hrs11	安索尼
hrs12	小岡
hrs13	朱黎
hrs16	雷哈娜
kal00	尤嘉莉
kal01	莫兒
kal02	阿得
kal03	思穎
kal04	鋼鎖
kal05	阿栗
kal07	游琪
kal08	簡培菈
kal09	敖志明
kal10	羅奇
kgr00	縫縫
kgr01	亞莎
kgr02	媽咪
kgr05	童兒
kgr06	希薇亞
kgr08	袋鋼
kgr09	麥克
kgr10	瑪莉亞
lon00	莫敬
lon01	皇獅
lon02	晴天
lon04	老獅
lon06	李克
lon07	亞瑟
lon08	賴恩睿
mnk01	七七
mnk02	遠仁
mnk03	四月
mnk04	皮猴
mnk05	孟琪
mnk06	天佑
mnk07	雪莉
mnk08	德里
mnk09	天聖
mus00	杜美
mus01	韭菜
mus02	貝拉
mus03	西瓜皮
mus04	和平
mus05	阿將
mus08	甘油
mus09	悄俊
mus10	羅萱兒
mus12	茜藍
mus14	阿聘
mus15	丸子
mus16	如意
mus17	小啾
mus18	起司
mus19	理佳
ocp00	張瑜
ocp01	章立娜
ocp02	章丸丸
ocp04	吉格爾
ost00	果果
ost01	仙仙
ost02	小嵐
ost03	鶴茲
ost04	勒內盧
ost05	朱莉亞
ost06	朱祿
ost07	凱恩
ost08	小偲
ost09	胡拉拉
ost10	火鳥
pbr00	阿波羅
pbr01	安地斯
pbr02	謝博強
pbr03	繼光
pbr05	安谷斯
pbr06	浩克
pbr07	銀閣
pbr08	法蘭克
pbr09	蒂芬妮
pbr10	席恩
pgn00	歐若拉
pgn01	企鵝達
pgn02	羅斯
pgn03	達滿
pgn04	謝賓娜
pgn05	寶拉
pgn06	哈奇
pgn07	信雄
pgn09	竹輪
pgn10	秀益
pgn11	花壽司
pgn12	伏特
pgn13	蕾拉
pgn14	冰莎
pig00	勝利
pig01	嘟嘟
pig02	古烈
pig03	阿豬
pig04	露西
pig05	肉肉
pig08	博士
pig09	達利
pig10	瑪格
pig11	千惠
pig13	小芽
pig14	豚皇
pig15	伊比利
pig16	布蘭妮
pig17	古乃欣
rbt00	莉莉安
rbt01	瑪莎
rbt02	仰韶
rbt03	百川
rbt04	猛兔
rbt05	珮琪
rbt06	羅塔
rbt07	大姐頭
rbt08	儒林
rbt09	月兔
rbt10	阿飛
rbt11	阿醋
rbt12	法藍琪
rbt13	克莉琪
rbt14	風杰
rbt15	桑托斯
rbt16	巧蔻
rbt17	妙妙
rbt18	阿甘
rbt19	蜜拉
rbt20	咚比
rbt21	蜜雪兒
rhn00	阿足
rhn01	夢夢
rhn02	阿蹲
rhn04	光雄
rhn05	碧芊
rhn07	草莓
rhn08	柴姐
shp00	綿綿
shp01	華爾滋
shp02	毛海兒
shp03	氈氈
shp04	愛睦
shp07	梅麗諾
shp08	賈洛斯
shp09	雪花
shp10	阿司
shp11	溫蒂
shp12	彭澎
shp13	皮耶羅
shp14	彩星
shp15	茶茶丸
squ00	小桃
squ01	小影
squ02	瑞奇
squ03	雷貝嘉
squ04	咬咬
squ05	阿二
squ06	賈蘿琳
squ07	拉拉米
squ08	閃電
squ09	小敏
squ10	嘉治
squ11	小芹
squ13	娜塔麗
squ14	孟珮
squ15	軟糖
squ16	克栗斯
squ17	小潤
squ18	艾栗絲
squ21	穗星
tig00	朱穆朗
tig01	戈麥斯
tig02	谷豐
tig03	盧姿
tig04	阿彪
tig05	馬麗蓮
tig06	小雪
wol00	施傅
wol01	潘奇隆
wol02	羅博
wol03	畢安卡
wol04	阿研
wol05	冰冰
wol06	史培亞
wol08	范妮莎
wol09	百合
wol10	李可
wol12	莫妮卡
alp	健兆
alw	莉詠
bev	俞正
bey	俞司廷
boa	曹谷
boc	曹賣
bpt	星薇
chm	龍山先生
chy	龍克斯
cml	駱嵐
cmlB	駱嵐
dga	警察叔叔
dgb	警察叔叔
doc	陸德里
dod	莫里
fox	狐利
fsl	博陸恩
grf	葛瑞斯
gstA	幽幽
gstB	幽幽
gul	呂遊
gulB	海盜
hgc	綿兒
hgh	絹兒
hgs	麻兒
kpg	阿玉婆婆
kpm	沽玉
kpp	航平
kps	沽沽
lom	咪露
man	納提
mka	無臉貓
mnc	尼可
mnk	車長叔叔
mob	開關叔叔
mol	電源叔叔
otg	巧美
otgB	巧美
ott	阿本先生
owl	傅達
ows	傅珂
pck	阿歡
pge	老闆
pgeB	老闆
pkn	南瓜王
plk	宋信子
plm	宋信美
plo	程信雄
poo	刀麗茹
pooB	刀麗茹
pyn	蹦蹦
rcm	豆狸
rco	狸克
rct	粒狸
rei	鈴鈴鹿
seo	阿獺
skk	薛革
slo	然然
spn	巴獵
sza	西施惠
szo	西施德
tap	夢美
tkkA	K.K.
tkkB	DJ KK
ttlA	壽伯
ttlB	橡伯
tuk	富藍
upa	笑匠
wrl	海項
xct	陌陌
